Identifiant_de_l_etablissement;Statut_public_prive;Type_contrat_prive;Code_type_contrat_prive
0756101Z;Privé;HORS CONTRAT;10
0756310B;Privé;HORS CONTRAT;10
0756320M;Privé;HORS CONTRAT;10
0756439S;Privé;HORS CONTRAT;10
0756511V;Privé;HORS CONTRAT;10
0760144U;Public;SANS OBJET;99
0762948S;Public;SANS OBJET;99
0763203U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0763206X;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0771065P;Public;SANS OBJET;99
0772336W;Public;SANS OBJET;99
0772643E;Public;SANS OBJET;99
0781907Z;Public;SANS OBJET;99
0782119E;Public;SANS OBJET;99
0782128P;Privé;HORS CONTRAT;10
0783432G;Public;SANS OBJET;99
0783713M;Privé;HORS CONTRAT;10
0783765U;Privé;HORS CONTRAT;10
0791098P;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0791099R;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0791210L;Privé;HORS CONTRAT;10
0800065L;Public;SANS OBJET;99
0802103B;Public;SANS OBJET;99
0802140S;Public;SANS OBJET;99
0802229N;Privé;HORS CONTRAT;10
0811380K;Privé;HORS CONTRAT;10
0820866W;Public;SANS OBJET;99
0831412J;Privé;HORS CONTRAT;10
0831472Z;Public;SANS OBJET;99
0831617G;Public;SANS OBJET;99
0831647P;Public;SANS OBJET;99
0840083J;Privé;HORS CONTRAT;10
0840952D;Public;SANS OBJET;99
0841127U;Privé;HORS CONTRAT;10
0851478V;Public;SANS OBJET;99
0851491J;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0851641X;Privé;HORS CONTRAT;10
0851661U;Privé;HORS CONTRAT;10
0851697H;Public;SANS OBJET;99
0851714B;Privé;HORS CONTRAT;10
0860800C;Public;SANS OBJET;99
0861459U;Privé;HORS CONTRAT;10
0870913V;Privé;HORS CONTRAT;10
0871033A;Public;SANS OBJET;99
0881383A;Privé;HORS CONTRAT;10
0881710F;Privé;HORS CONTRAT;10
0912092E;Public;SANS OBJET;99
0912111A;Public;SANS OBJET;99
0912113C;Public;SANS OBJET;99
0912152V;Public;SANS OBJET;99
0912164H;Public;SANS OBJET;99
0920160Z;Public;SANS OBJET;99
0922203V;Public;SANS OBJET;99
0922291R;Public;SANS OBJET;99
0922465E;Public;SANS OBJET;99
0922732V;Privé;HORS CONTRAT;10
0922867S;Public;SANS OBJET;99
0922912R;Privé;HORS CONTRAT;10
0930131M;Public;SANS OBJET;99
0930832Z;Public;SANS OBJET;99
0931743P;Public;SANS OBJET;99
0931950P;Public;SANS OBJET;99
0932376C;Public;SANS OBJET;99
0932387P;Public;SANS OBJET;99
0932396Z;Public;SANS OBJET;99
0932799M;Privé;HORS CONTRAT;10
0940139R;Public;SANS OBJET;99
0940750E;Public;SANS OBJET;99
0941019X;Public;SANS OBJET;99
0941303F;Public;SANS OBJET;99
0941966B;Public;SANS OBJET;99
0941977N;Public;SANS OBJET;99
0942025R;Privé;HORS CONTRAT;10
0942033Z;Public;SANS OBJET;99
0951838G;Public;SANS OBJET;99
0951841K;Public;SANS OBJET;99
0951911L;Public;SANS OBJET;99
0951934L;Public;SANS OBJET;99
0952143N;Privé;HORS CONTRAT;10
7200683E;Public;SANS OBJET;99
9711056W;Public;SANS OBJET;99
9711326P;Privé;HORS CONTRAT;10
9720860C;Public;SANS OBJET;99
9720957H;Privé;HORS CONTRAT;10
9730424Y;Public;SANS OBJET;99
9741104G;Public;SANS OBJET;99
9741108L;Public;SANS OBJET;99
9741175J;Public;SANS OBJET;99
9741277V;Public;SANS OBJET;99
9741354D;Public;SANS OBJET;99
9741766B;Privé;HORS CONTRAT;10
9741791D;Privé;HORS CONTRAT;10
9830305P;Public;SANS OBJET;99
