Identifiant_de_l_etablissement;Statut_public_prive;Type_contrat_prive;Code_type_contrat_prive
0390056Z;Public;SANS OBJET;99
0400057V;Public;SANS OBJET;99
0411061F;Public;SANS OBJET;99
0420999H;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0422180S;Public;SANS OBJET;99
0422347Y;Privé;HORS CONTRAT;10
0440541Z;Public;SANS OBJET;99
0442183J;Public;SANS OBJET;99
0442387F;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0442412H;Privé;HORS CONTRAT;10
0442753D;Public;SANS OBJET;99
0442813U;Privé;HORS CONTRAT;10
0442883V;Privé;HORS CONTRAT;10
0442992N;Privé;HORS CONTRAT;10
0451479N;Public;SANS OBJET;99
0451587F;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0451697A;Privé;HORS CONTRAT;10
0451775K;Privé;HORS CONTRAT;10
0451812A;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0460669C;Public;SANS OBJET;99
0470093W;Public;SANS OBJET;99
0490020F;Public;SANS OBJET;99
0490058X;Public;SANS OBJET;99
0490785M;Public;SANS OBJET;99
0492110C;Public;SANS OBJET;99
0492285T;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0492342E;Privé;HORS CONTRAT;10
0492431B;Public;SANS OBJET;99
0492449W;Privé;HORS CONTRAT;10
0501881Y;Public;SANS OBJET;99
0502017W;Privé;HORS CONTRAT;10
0512079H;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0512139Y;Public;SANS OBJET;99
0521136C;Public;SANS OBJET;99
0530074T;Privé;HORS CONTRAT;10
0530958D;Public;SANS OBJET;99
0531062S;Privé;HORS CONTRAT;10
0542291X;Public;SANS OBJET;99
0560197K;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0561655V;Public;SANS OBJET;99
0561743R;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0561747V;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0570145Y;Public;SANS OBJET;99
0573399K;Public;SANS OBJET;99
0581014M;Privé;HORS CONTRAT;10
0596900E;Privé;HORS CONTRAT;10
0597290D;Privé;HORS CONTRAT;10
0600061R;Public;SANS OBJET;99
0602184Y;Privé;HORS CONTRAT;10
0610799M;Privé;HORS CONTRAT;10
0611287T;Public;SANS OBJET;99
0611314X;Privé;HORS CONTRAT;10
0611318B;Privé;HORS CONTRAT;10
0631824R;Public;SANS OBJET;99
0631974D;Privé;HORS CONTRAT;10
0631986S;Public;SANS OBJET;99
0632002J;Privé;HORS CONTRAT;10
0632026K;Public;SANS OBJET;99
0632028M;Public;SANS OBJET;99
0632040A;Public;SANS OBJET;99
0641807S;Privé;HORS CONTRAT;10
0642078L;Privé;SANS OBJET;99
0660764X;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0660976C;Privé;HORS CONTRAT;10
0660985M;Privé;HORS CONTRAT;10
0660987P;Privé;HORS CONTRAT;10
0670023L;Public;SANS OBJET;99
0670128A;Public;SANS OBJET;99
0671616T;Privé;HORS CONTRAT;10
0672706C;Public;SANS OBJET;99
0672723W;Public;SANS OBJET;99
0673126J;Privé;HORS CONTRAT;10
0673131P;Privé;HORS CONTRAT;10
0673176N;Privé;HORS CONTRAT;10
0680085Y;Public;SANS OBJET;99
0680086Z;Public;SANS OBJET;99
0681758S;Public;SANS OBJET;99
0690652J;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0693368L;Privé;HORS CONTRAT;10
0693487R;Public;SANS OBJET;99
0693809R;Public;SANS OBJET;99
0693857T;Public;SANS OBJET;99
0694088U;Privé;HORS CONTRAT;10
0694095B;Public;SANS OBJET;99
0694374E;Privé;HORS CONTRAT;10
0694488D;Privé;HORS CONTRAT;10
0701150V;Public;SANS OBJET;99
0711960V;Privé;HORS CONTRAT;10
0720072M;Public;SANS OBJET;99
0721092W;Public;SANS OBJET;99
0721515F;Privé;HORS CONTRAT;10
0731527N;Privé;HORS CONTRAT;10
0731581X;Privé;HORS CONTRAT;10
0741410F;Privé;HORS CONTRAT;10
0753878H;Privé;HORS CONTRAT;10
0754882Z;Public;SANS OBJET;99
0754887E;Public;SANS OBJET;99
0754917M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0755057P;Privé;HORS CONTRAT;10
0755084U;Privé;HORS CONTRAT;10
0755099K;Public;SANS OBJET;99
0755748R;Privé;HORS CONTRAT;10
0755801Y;Privé;HORS CONTRAT;10
0756192Y;Privé;HORS CONTRAT;10
0756436N;Public;SANS OBJET;99
0758513W;Privé;SANS OBJET;99
0760033Y;Public;SANS OBJET;99
0760099V;Public;SANS OBJET;99
0762945N;Public;SANS OBJET;99
0762965K;Public;SANS OBJET;99
0763064T;Public;SANS OBJET;99
0763205W;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0763473M;Public;SANS OBJET;99
0763481W;Privé;HORS CONTRAT;10
0763529Y;Privé;HORS CONTRAT;10
0771028Z;Public;SANS OBJET;99
0772441K;Public;SANS OBJET;99
0772662A;Public;SANS OBJET;99
0772866X;Privé;HORS CONTRAT;10
0772886U;Privé;HORS CONTRAT;10
0772954T;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0780272X;Public;SANS OBJET;99
0782002C;Public;SANS OBJET;99
0782056L;Public;SANS OBJET;99
0783355Y;Privé;HORS CONTRAT;10
0791089E;Public;SANS OBJET;99
0791188M;Public;SANS OBJET;99
0810962F;Public;SANS OBJET;99
0811347Z;Public;SANS OBJET;99
0811367W;Privé;INCONNU DU GESTIONNAIRE;!!
0820914Y;Public;SANS OBJET;99
0820918C;Public;SANS OBJET;99
0831469W;Public;SANS OBJET;99
0831470X;Public;SANS OBJET;99
0840077C;Privé;HORS CONTRAT;10
0840954F;Public;SANS OBJET;99
0851500U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0851505Z;Public;SANS OBJET;99
0851516L;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0851517M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0851599B;Privé;HORS CONTRAT;10
0851670D;Privé;HORS CONTRAT;10
0861445D;Privé;HORS CONTRAT;10
0871032Z;Public;SANS OBJET;99
0871036D;Public;SANS OBJET;99
0881623L;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0911965S;Public;SANS OBJET;99
0912124P;Public;SANS OBJET;99
0912377P;Public;SANS OBJET;99
0912433A;Public;SANS OBJET;99
0912443L;Privé;HORS CONTRAT;10
0912451V;Privé;HORS CONTRAT;10
0922202U;Public;SANS OBJET;99
0922290P;Public;SANS OBJET;99
0922364V;Public;SANS OBJET;99
0922428P;Public;SANS OBJET;99
0922817M;Privé;HORS CONTRAT;10
0923044J;Privé;HORS CONTRAT;10
0930137U;Public;SANS OBJET;99
0930140X;Public;SANS OBJET;99
0930142Z;Public;SANS OBJET;99
0930856A;Public;SANS OBJET;99
0931234L;Public;SANS OBJET;99
0931386B;Public;SANS OBJET;99
0931571C;Public;SANS OBJET;99
0932115U;Public;SANS OBJET;99
0932369V;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0932373Z;Public;SANS OBJET;99
0932377D;Public;SANS OBJET;99
0932477M;Privé;HORS CONTRAT;10
0932670X;Privé;HORS CONTRAT;10
0932729L;Privé;HORS CONTRAT;10
0932798L;Privé;HORS CONTRAT;10
0932845M;Privé;HORS CONTRAT;10
0940133J;Public;SANS OBJET;99
0941471N;Public;SANS OBJET;99
0941965A;Public;SANS OBJET;99
0942382D;Privé;HORS CONTRAT;10
0951772K;Public;SANS OBJET;99
0951774M;Public;SANS OBJET;99
0951837F;Public;SANS OBJET;99
0951995C;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0952212N;Public;SANS OBJET;99
9711017D;Public;SANS OBJET;99
9711180F;Privé;HORS CONTRAT;10
9711253K;Public;SANS OBJET;99
9720900W;Privé;HORS CONTRAT;10
9720909F;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
9720958J;Privé;HORS CONTRAT;10
9730236U;Public;SANS OBJET;99
9730372S;Public;SANS OBJET;99
9741110N;Public;SANS OBJET;99
9741622V;Public;SANS OBJET;99
9741655F;Privé;HORS CONTRAT;10
9760296T;Public;SANS OBJET;99
9830672N;Privé;HORS CONTRAT;10
9830684B;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0660552S;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0311201M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0640053K;Public;SANS OBJET;99
0691626T;Public;SANS OBJET;99
0332781U;Public;SANS OBJET;99
0760062E;Public;SANS OBJET;99
9710052E;Public;SANS OBJET;99
0760132F;Public;SANS OBJET;99
0681882B;Public;SANS OBJET;99
0670007U;Public;SANS OBJET;99
0782546U;Public;SANS OBJET;99
0410018X;Public;SANS OBJET;99
0710026T;Public;SANS OBJET;99
0110677B;Public;SANS OBJET;99
0210012Z;Public;SANS OBJET;99
0573320Z;Public;SANS OBJET;99
0561458F;Privé;SANS OBJET;99
0080045F;Public;SANS OBJET;99
0340006X;Public;SANS OBJET;99
0301324B;Privé;SANS OBJET;99
0770938B;Public;SANS OBJET;99
0870041X;Public;SANS OBJET;99
0590035T;Public;SANS OBJET;99
0080943G;Privé;SANS OBJET;99
0622150A;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0600015R;Public;SANS OBJET;99
0590270Y;Public;SANS OBJET;99
0672198A;Public;SANS OBJET;99
0230003D;Public;SANS OBJET;99
0280665W;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0510038P;Public;SANS OBJET;99
0672614C;Public;SANS OBJET;99
0130039X;Public;SANS OBJET;99
0941952L;Public;SANS OBJET;99
9730309Y;Public;SANS OBJET;99
0940113M;Public;SANS OBJET;99
0500032N;Public;SANS OBJET;99
0810121S;Public;SANS OBJET;99
0070100W;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0501213X;Public;SANS OBJET;99
0624109E;Public;SANS OBJET;99
0623279C;Privé;SANS OBJET;99
0261505V;Public;SANS OBJET;99
0600041U;Public;SANS OBJET;99
0020051V;Public;SANS OBJET;99
0100687T;Public;SANS OBJET;99
0570030Y;Public;SANS OBJET;99
0130059U;Public;SANS OBJET;99
0380063M;Public;SANS OBJET;99
0592712C;Public;SANS OBJET;99
0740144E;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0740013M;Public;SANS OBJET;99
