id;secteur;public;public_employer_type_ref;public_employer_type
35478;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35479;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35480;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35481;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35482;Tourisme;FAUX;;
35483;Agriculture;FAUX;;
35484;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35485;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35486;Hôtellerie, restauration;FAUX;;
35487;Hôtellerie, restauration;FAUX;;
35488;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35489;Agriculture;FAUX;;
35490;Social;FAUX;;
35491;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35492;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35493;Automobile;FAUX;;
35494;Hôtellerie, restauration;FAUX;;
35495;Paramédical;FAUX;;
35496;Agriculture;FAUX;;
35497;Paramédical;FAUX;;
35498;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35499;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35500;Santé;FAUX;;
35501;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35502;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35503;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35504;Commerce et distribution;FAUX;;
35505;Immobilier, transactions immobilières;FAUX;;
35506;Agroéquipement;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
35507;Enseignement;FAUX;;
35508;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35509;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35510;Social;FAUX;;
35511;Agriculture;FAUX;;
35512;Environnement;FAUX;;
35513;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35514;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35515;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35516;Santé;FAUX;;
35517;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35518;Commerce et distribution;FAUX;;
35519;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35520;Sport;FAUX;;
35521;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35522;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35523;Social;VRAI;Ministère du Travail, de la Santé, des Solidarités et des Familles;Ministère du Travail, de la Santé, des Solidarités et des Familles
35529;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35530;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35531;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35532;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35533;Santé;FAUX;;
35534;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35535;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35536;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35537;Comptabilité, gestion, ressources humaines;FAUX;;
35538;Environnement;FAUX;;
35539;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35540;Logistique et transport;FAUX;;
35541;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35542;Automobile;FAUX;;
35543;Audiovisuel;FAUX;;
35546;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35547;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35548;Culture et patrimoine;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
35549;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35550;Bâtiment et travaux publics (BTP);FAUX;;
35551;Bâtiment et travaux publics (BTP);FAUX;;
35552;Social;FAUX;;
35553;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35554;Hôtellerie, restauration;FAUX;;
35555;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35556;Commerce et distribution;FAUX;;
35557;Banque et assurance;FAUX;;
35558;Logistique et transport;FAUX;;
35559;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35560;Industrie, ingénierie industrielle;FAUX;;
35561;Environnement;FAUX;;
35562;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35563;Environnement;FAUX;;
35564;Social;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
35565;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35566;Santé;FAUX;;
35567;Social;VRAI;Ministère du Travail, de la Santé, des Solidarités et des Familles;Ministère du Travail, de la Santé, des Solidarités et des Familles
35568;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35569;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35570;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35571;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35572;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35573;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35574;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35575;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35576;Banque et assurance;FAUX;;
35577;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35578;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35579;Hôtellerie, restauration;FAUX;;
35580;Hôtellerie, restauration;FAUX;;
35581;Comptabilité, gestion, ressources humaines;FAUX;;
35582;Comptabilité, gestion, ressources humaines;FAUX;;
35583;Comptabilité, gestion, ressources humaines;FAUX;;
35584;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35585;Commerce et distribution;FAUX;;
35586;Hôtellerie, restauration;FAUX;;
35587;Hôtellerie, restauration;FAUX;;
35588;Fonction publique;VRAI;;Ministère de l'Intérieur
35589;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35590;Hôtellerie, restauration;FAUX;;
35591;Arts du spectacle;FAUX;;
35592;Arts du spectacle;FAUX;;
35593;Commerce et distribution;FAUX;;
35594;Bâtiment et travaux publics (BTP);VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
35595;Maintenance;FAUX;;
35596;Industrie, ingénierie industrielle;FAUX;;
35597;Banque et assurance;FAUX;;
35598;Banque et assurance;FAUX;;
35599;Social;FAUX;;
35600;Conseil et audit;FAUX;;
35601;Social;VRAI;Ministère du Travail, de la Santé, des Solidarités et des Familles;Ministère du Travail, de la Santé, des Solidarités et des Familles
35602;Hôtellerie, restauration;FAUX;;
35603;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35604;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35605;Industrie, ingénierie industrielle;FAUX;;
35606;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35607;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35608;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35609;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35610;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35611;Tourisme;FAUX;;
35612;Tourisme;FAUX;;
35613;Tourisme;FAUX;;
35614;Fonction publique;VRAI;Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique;Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique
35615;Agroéquipement;VRAI;Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique;Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique
35616;Environnement;FAUX;;
35617;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35618;Social;FAUX;;
35619;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35620;Social;FAUX;;
35621;Enseignement;FAUX;;
35622;Social;FAUX;;
35623;Sport;FAUX;;
35624;Social;FAUX;;
