id;secteur;public;public_employer_type_ref;public_employer_type
3847;Audiovisuel;FAUX;;
4165;Culture et patrimoine;FAUX;;
4639;Comptabilité, gestion, ressources humaines;FAUX;;
4869;Sport;FAUX;;
8754;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
10287;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
11360;Industrie alimentaire;FAUX;;
11903;Industrie, ingénierie industrielle;FAUX;;
20966;Hôtellerie, restauration;FAUX;;
21355;Comptabilité, gestion, ressources humaines;FAUX;;
29441;Tourisme;FAUX;;
31046;Agriculture;FAUX;;
35246;Sport;FAUX;;
35315;Environnement;FAUX;;
35316;Agriculture;VRAI;Ministère du Travail, de la Santé, des Solidarités et des Familles;Ministère du Travail, de la Santé, des Solidarités et des Familles
35317;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35318;Sport;FAUX;;
35319;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35320;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35321;Environnement;FAUX;;
35322;Environnement;FAUX;;
35323;Environnement;FAUX;;
35324;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35325;Hôtellerie, restauration;FAUX;;
35326;Sport;FAUX;;
35327;Sport;FAUX;;
35329;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35330;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35331;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35332;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35333;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35334;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35335;Agriculture;FAUX;;
35336;Santé;FAUX;;
35337;Hôtellerie, restauration;FAUX;;
35338;Social;FAUX;;
35339;Maintenance;FAUX;;
35340;Comptabilité, gestion, ressources humaines;FAUX;;
35341;Commerce et distribution;FAUX;;
35342;Santé;FAUX;;
35343;Comptabilité, gestion, ressources humaines;FAUX;;
35344;Agroéquipement;FAUX;;
35345;Hôtellerie, restauration;FAUX;;
35346;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35347;Industrie, ingénierie industrielle;FAUX;;
35348;Industrie, ingénierie industrielle;FAUX;;
35349;Industrie, ingénierie industrielle;FAUX;;
35350;Industrie, ingénierie industrielle;FAUX;;
35351;Industrie, ingénierie industrielle;FAUX;;
35352;Industrie, ingénierie industrielle;FAUX;;
35353;Industrie, ingénierie industrielle;FAUX;;
35354;Industrie, ingénierie industrielle;FAUX;;
35355;Industrie, ingénierie industrielle;FAUX;;
35356;Industrie, ingénierie industrielle;FAUX;;
35357;Industrie, ingénierie industrielle;FAUX;;
35358;Industrie, ingénierie industrielle;FAUX;;
35359;Industrie, ingénierie industrielle;FAUX;;
35360;Industrie, ingénierie industrielle;FAUX;;
35361;Industrie, ingénierie industrielle;FAUX;;
35362;Industrie, ingénierie industrielle;FAUX;;
35363;Industrie, ingénierie industrielle;FAUX;;
35364;Industrie, ingénierie industrielle;FAUX;;
35365;Industrie, ingénierie industrielle;FAUX;;
35366;Industrie, ingénierie industrielle;FAUX;;
35367;Industrie, ingénierie industrielle;FAUX;;
35368;Agroéquipement;FAUX;;
35369;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35370;Automobile;FAUX;;
35371;Automobile;FAUX;;
35372;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35373;Commerce et distribution;FAUX;;
35374;Enseignement;FAUX;;
35376;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35377;Fonction publique;VRAI;Fonction publique hospitalière (FPH);Fonction publique hospitalière (FPH)
35378;Social;VRAI;Fonction publique hospitalière (FPH);Fonction publique hospitalière (FPH)
35379;Hôtellerie, restauration;VRAI;Fonction publique hospitalière (FPH);Fonction publique hospitalière (FPH)
35380;Agriculture;FAUX;;
35381;Bâtiment et travaux publics (BTP);FAUX;;
35382;Commerce et distribution;FAUX;;
35383;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35384;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35385;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35386;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35387;Filiere bois;FAUX;;
35388;Paramédical;FAUX;;
35389;Santé;FAUX;;
35390;Commerce et distribution;FAUX;;
35391;Maintenance;FAUX;;
35392;Santé;FAUX;;
35393;Comptabilité, gestion, ressources humaines;FAUX;;
35394;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35395;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35396;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35397;Automobile;VRAI;;Chambre consulaire
35398;Bien-être;VRAI;;Chambre consulaire
35399;Journalisme;FAUX;;
35400;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35401;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35402;Droit et justice;FAUX;;
35403;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35404;Santé;FAUX;;
35405;Social;FAUX;;
35406;Fonction publique;VRAI;Ministère de l'Intérieur;Ministère de l'Intérieur
35407;Enseignement;VRAI;;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35408;Filiere bois;FAUX;;
35409;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35410;Comptabilité, gestion, ressources humaines;FAUX;;
35411;Comptabilité, gestion, ressources humaines;FAUX;;
35412;Comptabilité, gestion, ressources humaines;FAUX;;
35413;Social;FAUX;;
35414;Enseignement;VRAI;Ministère de la Culture;Ministère de la Culture
35415;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35416;Banque et assurance;FAUX;;
35417;Social;FAUX;;
35418;Agriculture;VRAI;Ministère de l’Agriculture et de la Souveraineté alimentaire;Ministère de l’Agriculture et de la Souveraineté alimentaire
35419;Enseignement;FAUX;;
35420;Fonction publique;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
35421;Fonction publique;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
35422;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35423;Environnement;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
35424;Hôtellerie, restauration;FAUX;;
35425;Social;FAUX;;
35426;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35427;Social;FAUX;;
35428;Environnement;FAUX;;
35429;Énergie;FAUX;;
35430;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35431;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35432;Verre, béton, céramique;FAUX;;
35433;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35434;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35435;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35436;Social;FAUX;;
35437;Sport;FAUX;;
35438;Hôtellerie, restauration;FAUX;;
35439;Comptabilité, gestion, ressources humaines;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35440;Social;FAUX;;
35443;Droit et justice;VRAI;Ministère de la Justice;Ministère de la Justice
35444;Filiere bois;FAUX;;
35445;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35446;Enseignement;VRAI;Chambre consulaire;Chambre consulaire
35447;Industrie alimentaire;FAUX;;
35448;Enseignement;FAUX;;
35449;Comptabilité, gestion, ressources humaines;FAUX;;
35450;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35451;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35452;Tourisme;VRAI;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)
35453;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35454;Services postaux;FAUX;;
35455;Fonction publique;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35456;Hôtellerie, restauration;FAUX;;
35457;Hôtellerie, restauration;FAUX;;
35458;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35459;Enseignement;VRAI;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35460;Fonction publique;VRAI;;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35461;Fonction publique;VRAI;;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35462;Fonction publique;VRAI;;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche
35463;Social;FAUX;;
35464;Mécanique;FAUX;;
35465;Industrie, ingénierie industrielle;FAUX;;
35466;Industrie, ingénierie industrielle;FAUX;;
35467;Art et design;FAUX;;
35468;Commerce et distribution;FAUX;;
35470;Commerce et distribution;FAUX;;
35471;Édition, librairie, bibliothèque;FAUX;;
35472;Environnement;FAUX;;
35473;Logistique et transport;FAUX;;
35474;Environnement;FAUX;;
35475;Social;FAUX;;
35476;Social;VRAI;Ministère du Travail, de la Santé, des Solidarités et des Familles;Ministère du Travail, de la Santé, des Solidarités et des Familles
35477;Architecture, urbanisme et paysage;FAUX;;
