"id";"SIRET";"secteur";"public";"public_employer_type";"Rue";"Ville";"Code postal";"Filière"
38263;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"131 Avenue de Paris";"Cherbourg-en-Cotentin";"50100";"seconde_only"
38264;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"Rue Pierre Mendès-France";"Saint-Vallier";"26240";"seconde_only"
38265;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"4 Place de la Mairie";"Tersanne";"26390";"seconde_only"
38266;"17260431600015";"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"30 Route de Fay-le-Clos";"Albon";"26140";"seconde_only"
38267;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"Rue de l’Alma";"Cherbourg-en-Cotentin";"50100";"seconde_only"
38268;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"45a Route de Saint-laurent d'Onay";"Valherbasse";"26350";"seconde_only"
38269;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"Verrières-de-Joux";"Verrières-de-Joux";"25300";"seconde_only"
38270;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"10 Boulevard Charles Gallet";"Le Coteau";"42120";"seconde_only"
38271;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"Avenue Rene Schmitt";"Cherbourg-en-Cotentin";"50130";"seconde_only"
38272;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"Rue Dujardin";"Cherbourg-en-Cotentin";"50100";"seconde_only"
38273;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"84 Rue du Poirier Baron";"Sannois";"95110";"seconde_only"
38274;"44269357800019";"Industrie, ingénierie industrielle";FAUX;;"Impasse Marie Delaune";"Villefranche-sur-Cher";"41200";"seconde_troisieme_or_quatrieme"
38275;"17930431601086";"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"8 Rue Claude Bernard";"Bobigny";"93000";"seconde_only"
38276;;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"Pays-de-Clerval";"Pays-de-Clerval";"25340";"seconde_troisieme_or_quatrieme"
38277;"17930431601086";"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"8 Rue Claude Bernard";"Bobigny";"93000";"seconde_only"
38278;"78344108200030";"Enseignement";FAUX;;"15 Rue Général de Reffye";"Épinal";"88000";"seconde_troisieme_or_quatrieme"
38279;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"2 Rue de Moncley";"Émagny";"25170";"seconde_only"
38280;"17510430600014";"Informatique et réseaux";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"1 Rue Navier";"Reims";"51100";"seconde_only"
38281;"77573281100044";"Industrie, ingénierie industrielle";FAUX;;"Saint-Éloi";"Saint-Éloi";"58000";"seconde_troisieme_or_quatrieme"
38282;;"Industrie, ingénierie industrielle";FAUX;;"1 Route de Marcilly";"Le Puley";"71460";"seconde_troisieme_or_quatrieme"
38283;;"Immobilier, transactions immobilières";FAUX;;"16 Avenue Chomedey de Maisonneuve";"Troyes";"10000";"seconde_troisieme_or_quatrieme"
38284;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"3 Place de l'Eglise";"Fromont";"77760";"seconde_only"
38285;;"Métiers d'art";FAUX;;"33 Route de Bassac";"Larajasse";"69590";"seconde_only"
38286;;"Santé";FAUX;;"Rue Principale";"Téteghem-Coudekerque-Village";"59229";"seconde_troisieme_or_quatrieme"
38287;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"29 Rue Emery Talvy";"Sainte-Marie";"97438";"seconde_troisieme_or_quatrieme"
38288;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"3 Rue de l’Amiral Courbet";"Saint-Joseph";"97480";"seconde_only"
