id;type_employeur;is_public
62458;;FAUX
62465;;FAUX
62452;;FAUX
62464;;FAUX
62449;;FAUX
62454;;FAUX
62455;;FAUX
62456;;FAUX
62457;;FAUX
62459;;FAUX
62472;;FAUX
62474;;FAUX
62448;;FAUX
62451;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;VRAI
62466;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
62469;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
35446;Chambre consulaire;VRAI
35704;Chambre consulaire;VRAI
35819;Chambre consulaire;VRAI
39542;Chambre consulaire;VRAI
49086;Chambre consulaire;VRAI
49091;Chambre consulaire;VRAI
55386;Chambre consulaire;VRAI
55388;Chambre consulaire;VRAI
55962;Chambre consulaire;VRAI
55966;Chambre consulaire;VRAI
55974;Chambre consulaire;VRAI
55993;Chambre consulaire;VRAI
56523;Chambre consulaire;VRAI
57294;Chambre consulaire;VRAI
58242;Chambre consulaire;VRAI
58244;Chambre consulaire;VRAI
58250;Chambre consulaire;VRAI
58251;Chambre consulaire;VRAI
58253;Chambre consulaire;VRAI
58362;Chambre consulaire;VRAI
58365;Chambre consulaire;VRAI
58371;Chambre consulaire;VRAI
61579;Chambre consulaire;VRAI
59155;Chambre consulaire;VRAI
39223;Chambre consulaire;FAUX
38358;Chambre consulaire;FAUX
50401;Chambre consulaire;VRAI
35506;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
35725;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
35742;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
35776;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
35777;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
35778;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
35782;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
35831;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
35868;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
35876;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
35877;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
35878;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
35899;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
35902;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
35903;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
35904;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
35931;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
35932;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36054;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36072;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36130;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36136;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36201;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36210;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36211;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36213;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36225;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36301;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36340;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36380;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36381;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36382;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36407;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36459;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36467;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36468;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36469;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36486;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36511;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36544;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36557;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36614;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36618;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36669;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36724;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36763;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36869;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36870;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36872;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36874;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36876;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36881;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36882;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36883;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
36884;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
