"id";"secteur";"public";"public_employer_type"
66757;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66758;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66759;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66760;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66761;"Fonction publique";VRAI;"Ministère de l'Intérieur"
66762;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66763;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66764;"Artisanat d'art";FAUX;
66765;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66766;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66767;"Social";FAUX;
66768;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
66769;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66770;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66771;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66772;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66773;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
66774;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
66775;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
66776;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
66777;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
66778;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66779;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
66780;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66781;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
66782;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
66784;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
66785;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66786;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
66787;"Agriculture";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
66788;"Santé";FAUX;
66789;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
66790;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66791;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66792;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
66793;"Industrie, ingénierie industrielle";FAUX;
66794;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66795;"Commerce et distribution";FAUX;
66796;"Santé";FAUX;
66797;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
66798;"Fonction publique";VRAI;"Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique"
66799;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
