ACADEMIE;CODE_RNE (UAI);ID_ETAB_SCONET (ETAB_UAJ_Id);DIVISION (CLASSE);EFFECTIF DECLARE;MINISTERE
Nantes;0441788E;1712;2GT;0;AGRICULTUR
Nantes;0442061B;1728;2A;27;AGRICULTUR
Nantes;0442061B;1728;2B;27;AGRICULTUR
Nantes;0530081A;1730;S1;18;AGRICULTUR
Nantes;0530081A;1730;S2;29;AGRICULTUR
Nantes;0530081A;1730;S3;16;AGRICULTUR
Nantes;0720010V;1731;2GT1;30;AGRICULTUR
Nantes;0720010V;1731;2GT2;30;AGRICULTUR
Nantes;0491027A;1745;2G1;40;AGRICULTUR
Nantes;0491027A;1745;2G2;40;AGRICULTUR
Nantes;0491027A;1745;2G3;20;AGRICULTUR
Nantes;0850151C;2081;2GT;19;AGRICULTUR
Nice;0831109E;895;2GTA;25;AGRICULTUR
Nice;0831109E;895;2GTB;25;AGRICULTUR
Normandie;0501599S;54105;2CM;12;MER
Normandie;0501599S;54105;2MARCOM;12;MER
Normandie;0501599S;54105;2MAREMM;12;MER
Normandie;0501599S;54105;2MARPEC;12;MER
Normandie;0762735K;56221;2NDE A;24;MER
Normandie;0762735K;56221;2NDE B;24;MER
Normandie;0761315S;60621;21;32;AGRICULTUR
Normandie;0761315S;60621;22;32;AGRICULTUR
Normandie;0761315S;60621;23;32;AGRICULTUR
Nvelle-Caledonie;;;;;
Orleans;0180585N;783;2A;26;AGRICULTUR
Orleans;0180585N;783;2B;20;AGRICULTUR
Orleans;0280706R;814;1A;22;AGRICULTUR
Orleans;0370781Y;834;2A;29;AGRICULTUR
Orleans;0370781Y;834;2B;23;AGRICULTUR
Orleans;0370781Y;834;2C;21;AGRICULTUR
Orleans;0450094H;836;51;33;AGRICULTUR
Orleans;0450094H;836;52;33;AGRICULTUR
Orleans;0450094H;836;53;33;AGRICULTUR
Paris;;;;;
Poitiers;0171432P;731;2DE CGEM;24;MER
Poitiers;0171432P;731;2DE CM;24;MER
Poitiers;0171432P;731;2DE POLY;24;MER
Poitiers;0860718N;756;2-GT;40;AGRICULTUR
Polynesie;;;;;
Reims;;;;;
Rennes;0290063L;964;S1;27;DEFENSE
Rennes;0290063L;964;S2;27;DEFENSE
Rennes;0290063L;964;S3;27;DEFENSE
Rennes;0221033D;1034;2GB;24;AGRICULTUR
