uai;type_etab;nom_etablissement;adresse;code_postal;commune;position;voie_generale;voie_techno;voie_pro;etab_mere;nbeleves;voie_gt;rentree_scolaire;nombre_d_eleves;2ndes_gt;_merge;nbeleves_est;2des_est
0511645L;Lycée;Lycée La Salle Reims-Thillois;4 rue des écoles;51370.0;Thillois;49.25635997157705, 3.9558403525618453;0.0;1.0;1.0;;;True;;;;left_only;646.0;146.0
0511196Y;Lycée;Lycée de la Nature et du Vivant de Somme Vesle;Route départementale 3;51460.0;Somme-Vesle;49.01162794099846, 4.591090335127142;1.0;1.0;1.0;;;True;;;;left_only;646.0;207.0
0510031G;Lycée;Lycée Clemenceau;46 avenue Georges Clemenceau;51096.0;Reims;49.25073432345288, 4.046330326900803;1.0;0.0;0.0;;1061.0;True;2022.0;1061.0;426.0;both;1061.0;426.0
0610702G;Lycée;Lycée Marie Immaculée;6 rue Charles Forget;61500.0;Sées;48.60679111930358, 0.17181002919253174;1.0;0.0;0.0;;91.0;True;2022.0;91.0;36.0;both;91.0;36.0
0810068J;Lycée;Lycée général et technologique privé Amboise;13 boulevard Carnot;81000.0;Albi;43.92252388202281, 2.1432389366388094;1.0;1.0;0.0;;365.0;True;2022.0;365.0;119.0;both;365.0;119.0
0280015P;Lycée;Lycée Emile Zola;26 rue de Civry;28205.0;Châteaudun;48.07252835589883, 1.3341805137778273;1.0;1.0;0.0;;925.0;True;2022.0;925.0;340.0;both;925.0;340.0
0080082W;Lycée;Lycée polyvalent Saint Paul;6 place Winston Churchill;8000.0;Charleville-Mézières;49.771685048387035, 4.722320215068917;1.0;1.0;1.0;;598.0;True;2022.0;423.0;151.0;both;423.0;151.0
0783297K;Lycée;Lycée Le Bon Sauveur;6 rue Henri Cloppet;78110.0;Le Vésinet;48.88747490392935, 2.1457630390259252;1.0;0.0;0.0;;526.0;True;2022.0;526.0;175.0;both;526.0;175.0
0341765J;Lycée;Lycée privé Rabelais;36 rue des Aiguerelles;34000.0;Montpellier;43.60248811087468, 3.8833596183293224;1.0;1.0;0.0;;117.0;True;2022.0;117.0;30.0;both;117.0;30.0
0060750H;Lycée;Lycée - Institution Saint-Joseph de Carnolès;191 avenue Aristide Briand;6190.0;Roquebrune-Cap-Martin;43.76503811712544, 7.482800483639978;1.0;1.0;0.0;;510.0;True;2022.0;510.0;180.0;both;510.0;180.0
0132280H;Lycée;Lycée polyvalent Henri Leroy;29 avenue Louis Aragon;13230.0;Port-Saint-Louis-du-Rhône;43.391342310751575, 4.804575903380054;1.0;1.0;1.0;;417.0;True;2022.0;131.0;47.0;both;131.0;47.0
0511145T;Lycée;Lycée polyvalent Saint-Michel;39 rue Martin Peller;51100.0;Reims;49.2466954607039, 4.014050539836219;1.0;1.0;1.0;;629.0;True;2022.0;347.0;118.0;both;347.0;118.0
0911577V;Lycée;Lycée Jacques Prévert;23 rue Jules Ferry;91162.0;Longjumeau;48.68660093974844, 2.2970263276882408;1.0;1.0;0.0;;956.0;True;2022.0;956.0;337.0;both;956.0;337.0
