Geo Point,Geo Shape,ID_GEOFLA,CODE_COM,extension,INSEE_COM,NOM_COM,STATUT,X_CHF_LIEU,Y_CHF_LIEU,X_CENTROID,Y_CENTROID,Z_MOYEN,SUPERFICIE,POPULATION,CODE_CANT,CODE_ARR,CODE_DEPT,NOM_DEPT,CODE_REG,NOM_REG,Nom_commune,Code_postal,Ligne_5,Libellé_d_acheminement,coordonnees_gps,
42.98719948659418, 9.382979054984137,,COMMUNE00000000000009192,107,2B107,ERSA,Commune simple,1220364,6229453,1220551,6230831,175,2038,152,8,2,2B,HAUTE-CORSE,94,CORSE,ERSA,20275,,ERSA,42.987200253, 9.383060181
41.74105905230615, 8.812665785123553,,COMMUNE00000000000003676,276,2A276,SERRA-DI-FERRO,Commune simple,1183207,6087587,1184868,6089868,148,3292,497,11,1,2A,CORSE-DU-SUD,94,CORSE,SERRA DI FERRO,20140,,SERRA DI FERRO,41.741296698, 8.812690377
42.40159963457152, 9.511629849501736,,COMMUNE00000000000005669,242,2B242,POGGIO-MEZZANA,Commune simple,1234622,6166471,1236431,6166847,110,893,626,10,3,2B,HAUTE-CORSE,94,CORSE,POGGIO MEZZANA,20230,,POGGIO MEZZANA,42.40146433, 9.512024925
41.786901265598104, 9.010776554022403,,COMMUNE00000000000005835,160,2A160,MOCA-CROCE,Commune simple,1200314,6097650,1201037,6094820,739,2768,232,11,4,2A,CORSE-DU-SUD,94,CORSE,MOCA CROCE,20140,,MOCA CROCE,41.787617666, 9.010018558
41.671724175528226, 8.98874346301626,,COMMUNE00000000000013269,18,2A018,ARBELLARA,Commune simple,1199519,6083485,1199910,6082388,212,1130,143,9,4,2A,CORSE-DU-SUD,94,CORSE,ARBELLARA,20110,,ARBELLARA,41.671484206, 8.989411005000001
42.047544067196135, 8.982234496565873,,COMMUNE00000000000017130,330,2A330,UCCIANI,Commune simple,1195501,6123655,1195757,6124907,713,2876,468,8,1,2A,CORSE-DU-SUD,94,CORSE,UCCIANI,20133,,UCCIANI,42.047197897, 8.982585246
42.96737384667508, 9.364912680024595,,COMMUNE00000000000017560,86,2B086,CENTURI,Commune simple,1218306,6228216,1219263,6227948,236,866,211,8,2,2B,HAUTE-CORSE,94,CORSE,CENTURI,20238,,CENTURI,42.967291436000004, 9.364513101
42.32137982398398, 9.516222053656074,,COMMUNE00000000000018404,87,2B087,CERVIONE,Commune simple,1235323,6158864,1237408,6157762,185,1149,1719,10,3,2B,HAUTE-CORSE,94,CORSE,CERVIONE,20221,PRUNETE,CERVIONE,42.320942878, 9.516363905
42.13551124826953, 9.367922216519103,,COMMUNE00000000000035229,75,2B075,CASEVECCHIE,Commune simple,1226197,6137058,1226994,6135776,301,910,64,13,3,2B,HAUTE-CORSE,94,CORSE,CASEVECCHIE,20270,,CASEVECCHIE,42.135680677, 9.367689873
42.26886828871009, 9.20602368450471,,COMMUNE00000000000027281,238,2B238,POGGIO-DI-VENACO,Commune simple,1210836,6148671,1212209,6150387,387,1337,192,11,3,2B,HAUTE-CORSE,94,CORSE,POGGIO DI VENACO,20250,,POGGIO DI VENACO,42.268695229, 9.205973945
41.887628286749504, 9.04545614503181,,COMMUNE00000000000030168,358,2A358,ZEVACO,Commune simple,1202670,6107226,1202267,6107350,759,1007,62,11,1,2A,CORSE-DU-SUD,94,CORSE,ZEVACO,20173,,ZEVACO,41.887254351, 9.045323738
42.41044829815318, 9.263228292412993,,COMMUNE00000000000030351,267,2B267,SALICETO,Commune simple,1218517,6165064,1215176,6166533,665,1250,61,14,3,2B,HAUTE-CORSE,94,CORSE,SALICETO,20218,,SALICETO,42.410520775, 9.263971715
42.390954349361834, 9.451651189549828,,COMMUNE00000000000022708,340,2B340,VELONE-ORNETO,Commune simple,1233762,6166437,1230750,6165106,655,1223,110,10,3,2B,HAUTE-CORSE,94,CORSE,VELONE ORNETO,20230,,VELONE ORNETO,42.39097936, 9.451708549
41.973078152121936, 9.138575631391483,,COMMUNE00000000000031250,89,2A089,CIAMANNACCE,Commune simple,1210288,6114463,1209365,6116355,1330,2516,137,11,1,2A,CORSE-DU-SUD,94,CORSE,CIAMANNACCE,20134,,CIAMANNACCE,41.973021385, 9.138412717
42.21480646153299, 9.323202928920592,,COMMUNE00000000000001287,218,2B218,PIEDICORTE-DI-GAGGIO,Commune simple,1222746,6147127,1222515,6145657,424,2739,103,13,3,2B,HAUTE-CORSE,94,CORSE,PIEDICORTE DI GAGGIO,20251,,PIEDICORTE DI GAGGIO,42.214947914, 9.323352874
42.60782751162184, 9.014175190616665,,COMMUNE00000000000029746,34,2B034,BELGODERE,Commune simple,1194175,6183939,1193062,6186999,173,1305,525,15,5,2B,HAUTE-CORSE,94,CORSE,BELGODERE,20226,,BELGODERE,42.608071388, 9.014172599
42.37323457836047, 9.465728194028017,,COMMUNE00000000000030155,302,2B302,SAN-GIOVANNI-DI-MORIANI,Commune simple,1233822,6163518,1232644,6163473,579,1020,91,10,3,2B,HAUTE-CORSE,94,CORSE,SAN GIOVANNI DI MORIANI,20230,,SAN GIOVANNI DI MORIANI,42.373178854, 9.465822164
42.47132392355279, 9.298023949315228,,COMMUNE00000000000030517,79,2B079,CASTELLO-DI-ROSTINO,Commune simple,1219601,6172330,1217272,6173665,452,1249,414,14,3,2B,HAUTE-CORSE,94,CORSE,CASTELLO DI ROSTINO,20235,,CASTELLO DI ROSTINO,42.471494035, 9.297984515
42.38389520341729, 9.510465452471223,,COMMUNE00000000000008175,307,2B307,SANTA-LUCIA-DI-MORIANI,Commune simple,1237949,6165084,1236780,6164931,72,616,1199,10,3,2B,HAUTE-CORSE,94,CORSE,SANTA LUCIA DI MORIANI,20230,,SANTA LUCIA DI MORIANI,42.384149913, 9.510666019
42.60108489028823, 8.932188663609804,,COMMUNE00000000000009292,316,2B316,SANTA-REPARATA-DI-BALAGNA,Commune simple,1186690,6185390,1187055,6185657,192,1016,1007,15,5,2B,HAUTE-CORSE,94,CORSE,SANTA REPARATA DI BALAGNA,20220,,SANTA REPARATA DI BALAGNA,42.601368217, 8.931733241
42.37522057188471, 9.265928289300751,,COMMUNE00000000000010023,106,2B106,ERONE,Commune simple,1216762,6161898,1216340,6162425,672,395,9,14,3,2B,HAUTE-CORSE,94,CORSE,ERONE,20244,,ERONE,42.375538829, 9.266421193
42.25284030336255, 9.263334498560187,,COMMUNE00000000000024806,105,2B105,ERBAJOLO,Commune simple,1218761,6149987,1217498,6148901,496,1564,104,14,3,2B,HAUTE-CORSE,94,CORSE,ERBAJOLO,20212,,ERBAJOLO,42.253058568, 9.263518462
