name,city,department,zipcode,code_uai,coordinates,street,created_at,updated_at,city_tsv,kind,visible,internship_agreement_online,fetched_school_phone
Léo Lagrange,Lillers,Pas-de-Calais,62190,0622799F,POINT (2.4797452 50.5670529),,2019-08-07 10:51:44 +0200,2024-01-04 12:40:44 +0100,'lagrang':3 'leo':2 'liller':1,rep,true,false,
Pierre Cuallacci,Frévent,Pas-de-Calais,62270,0622261W,POINT (2.2844589 50.27595179999999),,2019-08-07 10:51:44 +0200,2020-01-31 14:49:17 +0100,'cuallacc':3 'frevent':1 'pierr':2,rep,true,false,
du Thelle,Méru,Oise,60110,0601191U,POINT (2.1250156 49.23119879999999),,2019-08-07 10:51:44 +0200,2024-01-04 12:40:44 +0100,'du':2 'meru':1 'thel':3,rep,true,false,
Pierre-Gilles de Gennes,Le Mans,Sarthe,72100,0720902P,POINT (0.1987723 47.96624689999999),,2019-08-07 10:51:44 +0200,2024-01-04 12:40:44 +0100,'de':6 'gen':7 'gill':5 'le':1 'man':2 'pierr':4 'pierre-gill':3,rep,true,false,
Clotilde Vautier,Rennes,Ille-et-Vilaine,35000,0350913C,POINT (-1.6683151 48.12586779999999),,2019-08-07 10:51:44 +0200,2024-01-04 12:40:44 +0100,'clotild':2 'ren':1 'vauti':3,rep,true,false,
George Sand,Toulouse,Haute-Garonne,31100,0310086A,POINT (1.4091674 43.5880012),,2019-08-07 10:51:42 +0200,2024-01-04 12:40:45 +0100,'georg':2 'sand':3 'toulous':1,rep_plus,true,false,
Rosa Parks,Les Andelys,Eure,27700,0271320N,POINT (1.4437796 49.2483736),,2019-08-07 10:51:44 +0200,2024-01-04 12:40:45 +0100,'andely':2 'le':1 'park':4 'ros':3,rep,true,false,
Georges Politzer,Évreux,Eure,27000,0271095U,POINT (1.1469827 49.00656499999999),,2019-08-07 10:51:44 +0200,2024-01-04 12:40:45 +0100,'evreux':1 'georg':2 'politz':3,rep,true,false,
Les Fougères,Louviers,Eure,27400,0271398Y,POINT (1.1537684 49.21145670000001),,2019-08-07 10:51:44 +0200,2024-01-04 12:40:45 +0100,'fouger':3 'le':2 'louvi':1,rep,true,false,
de l'Albarine,Saint-Rambert-en-Bugey,Ain,01230,0010039M,POINT (5.43263 45.943),48 Avenue de l'Europe,2019-08-07 10:51:43 +0200,2024-01-04 14:51:19 +0100,'albarin':8 'bugey':5 'de':6 'en':4 'l':7 'rambert':3 'saint':2 'saint-rambert-en-bugey':1,rep,true,false,
Les Hauts de Plaine,Laragne-Montéglin,Hautes-Alpes,05300,0050452P,POINT (5.8218898 44.3196284),,2019-08-07 10:51:44 +0200,2024-01-04 14:51:19 +0100,'de':6 'haut':5 'laragn':2 'laragne-monteglin':1 'le':4 'monteglin':3 'plain':7,rep,true,false,
Maurice Jaubert,Nice,Alpes-Maritimes,06300,0061131X,POINT (7.2998681 43.7378716),,2019-08-07 10:51:42 +0200,2024-01-04 14:51:19 +0100,'jaubert':3 'mauric':2 'nic':1,rep_plus,true,false,
Robert de Sorbon,Rethel,Ardennes,08300,0080897G,POINT (4.3668406 49.511824),,2019-08-28 13:21:20 +0200,2024-01-04 14:51:19 +0100,'de':3 'rethel':1 'robert':2 'sorbon':4,qpv_proche,true,false,
du Westhoek,Coudekerque-Branche,Nord,59210,0594295Y,POINT (2.4017378 51.0299789),,2019-08-07 10:51:43 +0200,2024-01-04 14:51:19 +0100,'branch':3 'coudekerqu':2 'coudekerque-branch':1 'du':4 'westhoek':5,rep,true,false,
Jean Moulin,Brive-la-Gaillarde,Corrèze,19316,0190635M,POINT (1.4942426 45.1564158),,2019-08-07 10:51:42 +0200,2024-01-04 14:51:19 +0100,'briv':2 'brive-la-gaillard':1 'gaillard':4 'jean':5 'la':3 'moulin':6,rep_plus,true,false,
Fréderic Joliot-Curie,Calonne-Ricouart,Pas-de-Calais,62470,0620068M,POINT (2.4789762 50.4851268),,2019-08-07 10:51:44 +0200,2024-01-04 14:51:20 +0100,'calon':2 'calonne-ricouart':1 'cur':7 'frederic':4 'joliot':6 'joliot-cur':5 'ricouart':3,rep,true,false,
