name,city,department,zipcode,code_uai,coordinates,street,created_at,updated_at,city_tsv,kind,visible,internship_agreement_online,fetched_school_phone
La Garrigole,Perpignan,Pyrénées-Orientales,66000,0660016J,POINT (2.8676455 42.6948837),,2019-08-07 10:51:45 +0200,2024-01-04 12:40:46 +0100,'garrigol':3 'la':2 'perpignan':1,rep,true,false,
Paul Éluard,Tarbes,Hautes-Pyrénées,65000,0650034J,POINT (0.057732 43.244145),,2019-08-07 10:51:45 +0200,2024-01-04 12:40:46 +0100,'eluard':3 'paul':2 'tarb':1,rep,true,false,
Victor Hugo,Lavelanet,Ariège,09300,0090007J,POINT (1.8528436 42.9399328),,2019-08-07 10:51:45 +0200,2024-01-04 12:40:46 +0100,'hugo':3 'lavelanet':1 'victor':2,rep,true,false,
Georges Brassens,Narbonne,Aude,11100,0110068P,POINT (2.9742967 43.1862457),,2019-08-07 10:51:45 +0200,2024-01-04 12:40:46 +0100,'brassen':3 'georg':2 'narbon':1,rep,true,false,
Jean Mermoz,Gien,Loiret,45500,0451450G,POINT (2.6214004 47.70729799999999),,2019-08-07 10:51:45 +0200,2024-01-04 12:40:46 +0100,'gien':1 'jean':2 'mermoz':3,rep,true,false,
Le Grand Clos,Montargis,Loiret,45200,0450789N,POINT (2.7403592 47.998932),,2019-08-07 10:51:45 +0200,2024-01-04 12:40:46 +0100,'clos':4 'grand':3 'le':2 'montarg':1,rep,true,false,
Montesquieu,Orléans,Loiret,45064,0451070U,POINT (1.9361907 47.83356999999999),,2019-08-07 10:51:45 +0200,2024-01-04 12:40:46 +0100,'montesquieu':2 'orlean':1,rep,true,false,
Denis Diderot,Issoudun,Indre,36100,0360544W,POINT (2.0037915 46.9451557),,2019-08-07 10:51:45 +0200,2024-01-04 12:40:46 +0100,'den':2 'diderot':3 'issoudun':1,rep,true,false,
Martial Taugourdeau,Dreux,Eure-et-Loir,28100,0281060A,POINT (1.3978325 48.7417162),,2019-08-07 10:51:45 +0200,2024-01-04 12:40:46 +0100,'dreux':1 'martial':2 'taugourdeau':3,rep,true,false,
Victor Hugo,Bourges,Cher,18000,0180593X,POINT (2.409509 47.1106112),,2019-08-07 10:51:45 +0200,2024-01-04 12:40:46 +0100,'bourg':1 'hugo':3 'victor':2,rep,true,false,
Pierre Ronsard,Poitiers,Vienne,86000,0860723U,POINT (0.3500593 46.5693828),"",2019-08-07 10:51:45 +0200,2024-01-04 12:40:46 +0100,'pierr':2 'poiti':1 'ronsard':3,rep,true,false,
Marcel Pagnol,Vernouillet,Eure-et-Loir,28500,0280024Z,POINT (1.3300305 48.7343096),,2019-08-07 10:51:45 +0200,2024-01-04 12:40:47 +0100,'marcel':2 'pagnol':3 'vernouillet':1,rep,true,false,
Nelson Mandela,Floirac,Gironde,33270,0332189A,POINT (-0.5333988 44.8386878),,2019-08-07 10:51:45 +0200,2024-01-04 12:40:47 +0100,'floirac':1 'mandel':3 'nelson':2,rep,true,false,
Félix Arnaudin,Labouheyre,Landes,40210,0400014Y,POINT (-0.9166350999999999 44.2005727),,2019-08-07 10:51:45 +0200,2024-01-04 12:40:47 +0100,'arnaudin':3 'felix':2 'labouheyr':1,rep,true,false,
Les Aurains,Fumay,Ardennes,08170,0080017A,POINT (4.7056944 49.99131),,2019-08-07 10:51:45 +0200,2024-01-04 12:40:47 +0100,'aurain':3 'fumay':1 'le':2,rep,true,false,
Jacques Twinger,Strasbourg,Bas-Rhin,67200,0671508A,POINT (7.705535899999999 48.58108610000001),,2019-08-07 10:51:45 +0200,2024-01-04 12:40:47 +0100,'jacqu':2 'strasbourg':1 'twing':3,rep,true,false,
Bel Air,Mulhouse,Haut-Rhin,68200,0681961M,POINT (7.3053627 47.7302297),,2019-08-07 10:51:45 +0200,2024-01-04 12:40:47 +0100,'air':3 'bel':2 'mulhous':1,rep,true,false,
Pfeffel,Colmar,Haut-Rhin,68000,0680009R,POINT (7.3469756 48.083935),,2019-08-07 10:51:45 +0200,2024-01-04 12:40:47 +0100,'colmar':1 'pfeffel':2,rep,true,false,
La Rochotte,Chaumont,Haute-Marne,52000,0520737U,POINT (5.1347368 48.0897832),,2019-08-07 10:51:45 +0200,2024-01-04 12:40:47 +0100,'chaumont':1 'la':2 'rochott':3,rep,true,false,
Cressot,Joinville,Haute-Marne,52300,0520822L,POINT (5.1555901 48.44096529999999),,2019-08-07 10:51:45 +0200,2024-01-04 12:40:47 +0100,'cressot':2 'joinvill':1,rep,true,false,
du Grand Parc,Bordeaux,Gironde,33300,0330140Y,POINT (-0.5832821 44.85624370000001),,2019-08-07 10:51:45 +0200,2024-01-04 12:40:47 +0100,'bordeau':1 'du':2 'grand':3 'parc':4,rep,true,false,
Henri de Navarre,Coutras,Gironde,33230,0331621H,POINT (-0.1189655 45.0416304),,2019-08-07 10:51:45 +0200,2024-01-04 12:40:47 +0100,'coutr':1 'de':3 'henr':2 'navarr':4,rep,true,false,
