EP 2023-2024;Numéro d'établissement;Patronyme;Appartenance à un REP 2015 Lib L;Appartenance à un REPPLUS Lib L;En QPV 2024 DEPP oui/non
Hors EP;0930929E;OGEC LOUISE DE MARILLAC;NON;NON;Dans QP
Hors EP;0930946Y;SAINT VINCENT DE PAUL;NON;NON;Dans QP
Hors EP;0930960N;ORT;NON;NON;Dans QP
Hors EP;0931369H;FRANCOISE CABRINI;NON;NON;Dans QP
Hors EP;0931573E;ROBERT SCHUMAN;NON;NON;Dans QP
Hors EP;0940823J;ROBERT KELLER;NON;NON;Dans QP
Hors EP;0940853S;POULLART DES PLACES;NON;NON;Dans QP
Hors EP;0941407U;CE 3P;NON;NON;Dans QP
Hors EP;0941722L;GREGOR MENDEL;NON;NON;Dans QP
Hors EP;0941724N;CLAUDE-NICOLAS LEDOUX;NON;NON;
Hors EP;0942355Z;ENSEMBLE SAINTE MARIE;NON;NON;
Hors EP;0212023K;SAINT VINCENT DE PAUL;NON;NON;
Hors EP;0580075S;THERESE DESREUMAUX;NON;NON;
Hors EP;0711755X;DU SACRE COEUR;NON;NON;
Hors EP;0891223W;SAINT JACQUES;NON;NON;
Hors EP;0070100W;MARC SEGUIN;NON;NON;Dans QP
Hors EP;0070107D;MARIE RIVIER;NON;NON;
Hors EP;0070112J;SAINT ANDRE;NON;NON;Dans QP
Hors EP;0070114L;NOTRE DAME;NON;NON;Dans QP
Hors EP;0260078U;NOTRE DAME DES CHAMPS;NON;NON;Dans QP
Hors EP;0260082Y;LA PROVIDENCE;NON;NON;Dans QP
Hors EP;0261139X;MONTPLAISIR;NON;NON;Dans QP
Hors EP;0740144E;SAINT VINCENT;NON;NON;
Hors EP;0740148J;LA FONTAINE;NON;NON;
Hors EP;0740152N;ESCR-CECAM;NON;NON;
Hors EP;0740155S;MONT BLANC;NON;NON;
Hors EP;0740156T;JEANNE D'ARC;NON;NON;
Hors EP;0741285V;ISETA-ECA;NON;NON;
Hors EP;0380018N;ISER - BORDIER;NON;NON;Dans QP
Hors EP;0382170C;SCHNEIDER ELECTRIC;NON;NON;Dans QP
Hors EP;0381732B;FRANCOIS VERGUIN;NON;NON;Dans QP
Hors EP;0381733C;JEANNE D'ARC;NON;NON;Dans QP
Hors EP;0381741L;LE BREDA;NON;NON;
Hors EP;0381758E;DU TERTIAIRE LES CHARMILLES;NON;NON;Dans QP
Hors EP;0381805F;LES PORTES DE CHARTREUSE;NON;NON;
Hors EP;0381806G;BORDIER;NON;NON;Dans QP
Hors EP;0381809K;LES GORGES;NON;NON;Dans QP
Hors EP;0382169B;LES PRAIRIES;NON;NON;Dans QP
Hors EP;0382893N;JEAN MARIE VIANNEY;NON;NON;
Hors EP;0730772T;LE MARGERIAZ;NON;NON;
Hors EP;0730774V;SAINTE ANNE - SAVOISIENNE;NON;NON;
Hors EP;0730776X;SAINTE GENEVIEVE;NON;NON;Dans QP
Hors EP;9710993C;BEL AIR;NON;NON;
Hors EP;9710067W;BLANCHET;NON;NON;
Hors EP;9710593T;ST JOSEPH DE CLUNY;NON;NON;
Hors EP;9710775R;LES PERSEVERANTS;NON;NON;
Hors EP;9711080X;DE COIFFURE ET D'ESTHETIQUE;NON;NON;
Hors EP;9740679V;CATHOLIQUE STE SUZANNE;NON;NON;Dans QP
Hors EP;9741308D;SAINT-FRANCOIS-XAVIER;NON;NON;
Hors EP;0593060F;INSTITUT NICOLAS BARRE;NON;NON;Dans QP
Hors EP;0592964B;LEONARD DE VINCI;NON;NON;Dans QP
Hors EP;0592973L;SAINT FRANCOIS D'ASSISE;NON;NON;Dans QP
Hors EP;0593015G;CAMILLE DE LELLIS;NON;NON;Dans QP
Hors EP;0593027V;NUMERIQUES EPIL (GROUPE OEC);NON;NON;Dans QP
Hors EP;0593030Y;NOTRE-DAME DU SACRE COEUR;NON;NON;Dans QP
Hors EP;0593063J;SAINTE MARIE;NON;NON;
Hors EP;0593066M;JEAN PAUL II;NON;NON;Dans QP
Hors EP;0593079B;SAINTE BERNADETTE;NON;NON;Dans QP
Hors EP;0595918M;E.P.I.D.;NON;NON;Dans QP
Hors EP;0622192W;SAINT JOSEPH;NON;NON;Dans QP
Hors EP;0622195Z;SAINTE MARIE;NON;NON;
Hors EP;0622211S;SAINT PIERRE;NON;NON;Dans QP
Hors EP;0190062P;NOTRE DAME DE LA PROVIDENCE;NON;NON;
Hors EP;0190783Y;FONDATION POMPIDOU;NON;NON;
Hors EP;0190834D;SILVYA TERRADE SUD-OUEST;NON;NON;Dans QP
Hors EP;0870097H;POLARIS FORMATION;NON;NON;Dans QP
Hors EP;0870919B;ST JEAN;NON;NON;Dans QP
Hors EP;0010099C;SAINT JOSEPH;NON;NON;Dans QP
Hors EP;0010814E;SAINT JOSEPH;NON;NON;
Hors EP;0011258M;INSTITUTION SAINTE ANNE - LAMA;NON;NON;Dans QP
Hors EP;0420974F;SAINTE ANNE;NON;NON;
Hors EP;0421034W;SEVIGNE;NON;NON;Dans QP
Hors EP;0422160V;RENOUVEAU;NON;NON;
Hors EP;0420982P;NOTRE DAME DES COLLINES;NON;NON;Dans QP
Hors EP;0420984S;SAINTE MARIE;NON;NON;Dans QP
Hors EP;0420985T;SAINTE CLAIRE;NON;NON;
Hors EP;0420987V;ARAGO;NON;NON;
Hors EP;0420991Z;LE MARAIS SAINTE THERESE;NON;NON;Dans QP
Hors EP;0420992A;SAINT JOSEPH;NON;NON;Dans QP
Hors EP;0420996E;SAINTE MARIE LA GRAND'GRANGE;NON;NON;Dans QP
Hors EP;0420998G;DES MONTS DU LYONNAIS;NON;NON;
Hors EP;0421002L;JEAN-BAPTISTE D'ALLARD;NON;NON;Dans QP
Hors EP;0421006R;SAINT ENNEMOND;NON;NON;Dans QP
Hors EP;0421742R;TEZENAS DU MONTCEL;NON;NON;Dans QP
