EP 2023-2024;Numéro d'établissement;Patronyme;Appartenance à un REP 2015 Lib L;Appartenance à un REPPLUS Lib L;En QPV 2024 DEPP oui/non
Hors EP;0130062X;FREDERIC MISTRAL;NON;NON;Dans QP
Hors EP;0130063Y;LEAU;NON;NON;
Hors EP;0130064Z;JEAN BAPTISTE BROCHIER;NON;NON;Dans QP
Hors EP;0130065A;VISTE (LA);NON;NON;Dans QP
Hors EP;0130068D;CAMILLE JULLIAN;NON;NON;
Hors EP;0130071G;COLBERT;NON;NON;
Hors EP;0130072H;AMPERE;NON;NON;Dans QP
Hors EP;0130146N;ALPILLES (LES);NON;NON;Dans QP
Hors EP;0130150T;JEAN MOULIN;NON;NON;Dans QP
Hors EP;0130151U;CHARLES MONGRAND;NON;NON;Dans QP
Hors EP;0130157A;LES FERRAGES;NON;NON;
Hors EP;0130171R;CHARLES PRIVAT;NON;NON;Dans QP
Hors EP;0131606A;CALADE (LA);NON;NON;Dans QP
Hors EP;0132276D;LATECOERE;NON;NON;
Hors EP;0050005D;ALPES ET DURANCE;NON;NON;
Hors EP;0050008G;PAUL HERAUD;NON;NON;Dans QP
Hors EP;0050009H;SEVIGNE;NON;NON;Dans QP
Hors EP;0050027C;PIERRE MENDES FRANCE;NON;NON;
Hors EP;0840039L;DOMAINE D EGUILLES;NON;NON;
Hors EP;0840041N;MARIA CASARES;NON;NON;Dans QP
Hors EP;0840046U;ARISTIDE BRIAND;NON;NON;Dans QP
Hors EP;0840113S;ALEXANDRE DUMAS;NON;NON;
Hors EP;0840700E;FERDINAND REVOUL;NON;NON;Dans QP
Hors EP;0840763Y;ARGENSOL (QUARTIER DE L');NON;NON;
Hors EP;0841078R;REGIONAL MONTESQUIEU;NON;NON;Dans QP
Hors EP;0022044L;LE CORBUSIER;NON;NON;Dans QP
Hors EP;0020022N;JEAN MONNET;NON;NON;Dans QP
Hors EP;0020025S;CHATEAU POTEL;NON;NON;
Hors EP;0020051V;D'ART;NON;NON;Dans QP
Hors EP;0020052W;COLARD NOEL;NON;NON;Dans QP
Hors EP;0020078Z;JULIE DAUBIE;NON;NON;Dans QP
Hors EP;0020079A;CONDORCET;NON;NON;Dans QP
Hors EP;0020088K;CAMILLE CLAUDEL;NON;NON;Dans QP
Hors EP;0020089L;FREDERIC ET IRENE JOLIOT CURIE;NON;NON;Dans QP
Hors EP;0021479X;FRANCOISE DOLTO;NON;NON;
Hors EP;0022008X;JEAN MACE;NON;NON;
Hors EP;0600003C;J.B. COROT - BATIMENT;NON;NON;Dans QP
Hors EP;0600004D;LES JACOBINS;NON;NON;Dans QP
Hors EP;0600016S;M.GRENET (INDUSTRIEL);NON;NON;Dans QP
Hors EP;0600017T;M.GRENET (MIXTE);NON;NON;Dans QP
Hors EP;0600041U;CHARLES DE BOVELLES;NON;NON;Dans QP
Hors EP;0600048B;DONATION DE ROTHSCHILD;NON;NON;
Hors EP;0600049C;AMYOT D INVILLE;NON;NON;
Hors EP;0600062S;MARIE CURIE;NON;NON;Dans QP
Hors EP;0600063T;JULES UHRY;NON;NON;Dans QP
Hors EP;0601363F;ROBERT DESNOS;NON;NON;Dans QP
Hors EP;0601470X;LAVOISIER;NON;NON;Dans QP
Hors EP;0601787S;ROBERVAL;NON;NON;
Hors EP;0601822E;ARTHUR RIMBAUD;NON;NON;
Hors EP;0601845E;DE LA FORET;NON;NON;
Hors EP;0601870G;ANDRE MALRAUX;NON;NON;Dans QP
Hors EP;0800013E;DE L'ACHEULEEN;NON;NON;Dans QP
Hors EP;0800062H;EDOUARD GAND;NON;NON;Dans QP
Hors EP;0800063J;BOUCHER DE PERTHES;NON;NON;Dans QP
Hors EP;0801194N;MONTAIGNE;NON;NON;Dans QP
Hors EP;0801252B;J C ATHANASE PELTIER;NON;NON;
Hors EP;0801336T;EDOUARD BRANLY;NON;NON;Dans QP
Hors EP;0801514L;PIERRE MENDES FRANCE;NON;NON;
Hors EP;0801628K;ROMAIN ROLLAND;NON;NON;Dans QP
Hors EP;0801704T;ALFRED MANESSIER;NON;NON;
Hors EP;0801739F;DU MARQUENTERRE;NON;NON;
Hors EP;0250001R;NELSON MANDELA;NON;NON;
Hors EP;0250013D;PIERRE-ADRIEN PARIS;NON;NON;
Hors EP;0250014E;CONDE;NON;NON;Dans QP
Hors EP;0250063H;JOUFFROY D'ABBANS;NON;NON;
Hors EP;0250067M;LES HUISSELETS;NON;NON;Dans QP
Hors EP;0251079M;TRISTAN BERNARD;NON;NON;Dans QP
Hors EP;0251349F;TOUSSAINT LOUVERTURE;NON;NON;Dans QP
Hors EP;0700011G;HENRI FERTET;NON;NON;Dans QP
Hors EP;0700038L;LUXEMBOURG;NON;NON;
Hors EP;0700882D;PONTARCHER;NON;NON;Dans QP
Hors EP;0390029V;DU BOIS;NON;NON;
Hors EP;0390015E;JACQUES PREVERT;NON;NON;
Hors EP;0390020K;LE CORBUSIER - BATIMENT;NON;NON;Dans QP
Hors EP;0390021L;MONTCIEL;NON;NON;
Hors EP;0390024P;PIERRE VERNOTTE;NON;NON;
Hors EP;0390914G;FERDINAND FILLOD;NON;NON;
Hors EP;0900019G;JULES FERRY;NON;NON;
Hors EP;0900236T;RAOUL FOLLEREAU;NON;NON;Dans QP
Hors EP;0900355X;DENIS DIDEROT;NON;NON;Dans QP
Hors EP;0240006B;SUD PERIGORD HELENE DUC;NON;NON;Dans QP
Hors EP;0240007C;JEAN CAPELLE;NON;NON;Dans QP
Hors EP;0240012H;CHARDEUIL METIERS DU BATIMENT;NON;NON;
Hors EP;0240028A;PABLO PICASSO;NON;NON;
Hors EP;0240039M;PORTE D AQUITAINE;NON;NON;
Hors EP;0240048X;PRE DE CORDY;NON;NON;
Hors EP;0240050Z;ARNAUT DANIEL;NON;NON;
Hors EP;0240984P;LEONARD DE VINCI;NON;NON;Dans QP
Hors EP;0332192D;HOTEL.TOURISME GASCOGNE;NON;NON;Dans QP
Hors EP;0330011H;GISELE HALIMI;NON;NON;
Hors EP;0330031E;D'ART TOULOUSE LAUTREC;NON;NON;
Hors EP;0330032F;NICOLAS BREMONTIER;NON;NON;Dans QP
Hors EP;0330033G;DES MENUTS;NON;NON;Dans QP
Hors EP;0330060L;FLORA TRISTAN;NON;NON;
Hors EP;0330069W;LA MORLETTE;NON;NON;Dans QP
Hors EP;0330076D;INDUSTRIE ET ARTISANAT C.PEGUY;NON;NON;Dans QP
Hors EP;0330082K;SUD GIRONDE;NON;NON;
Hors EP;0330102G;ODILON REDON;NON;NON;
Hors EP;0330114V;PAUL BROCA;NON;NON;Dans QP
Hors EP;0330119A;JEHAN DUPERIER;NON;NON;
Hors EP;0330142A;TREGEY RIVE DE GARONNE;NON;NON;Dans QP
Hors EP;0331460H;LES CHARTRONS;NON;NON;Dans QP
Hors EP;0331668J;MARCEL DASSAULT;NON;NON;Dans QP
Hors EP;0331882S;EMILE COMBES;NON;NON;Dans QP
Hors EP;0332194F;CONDORCET ARCACHON;NON;NON;
Hors EP;0332344U;HENRI BRULLE;NON;NON;
Hors EP;0332345V;PHILADELPHE DE GERDE;NON;NON;Dans QP
Hors EP;0332346W;PHILIPPE COUSTEAU;NON;NON;
Hors EP;0332441Z;JACQUES BREL;NON;NON;Dans QP
Hors EP;0332445D;ALPHONSE BEAU DE ROCHAS;NON;NON;Dans QP
Hors EP;0332781U;DE L ESTUAIRE;NON;NON;
Hors EP;0400004M;LOUIS DARMANTE;NON;NON;
Hors EP;0400019D;DE L' AUTO ET DU TRANSPORT FRE;NON;NON;
Hors EP;0400020E;ROBERT WLERICK;NON;NON;Dans QP
Hors EP;0400047J;JEAN D ARCET;NON;NON;
Hors EP;0400049L;AMBROISE CROIZAT;NON;NON;
Hors EP;0400097N;DU BATIMENT JEAN GARNIER;NON;NON;
Hors EP;0470004Z;ANTOINE LOMET;NON;NON;Dans QP
Hors EP;0470015L;PORTE DU LOT;NON;NON;
Hors EP;0470029B;JACQUES DE ROMAS;NON;NON;
Hors EP;0470641S;BENOIT D AZY;NON;NON;
Hors EP;0470782V;JEAN MONNET;NON;NON;
Hors EP;0641823J;HOTELLERIE BIARRITZ ATLANTIQUE;NON;NON;
Hors EP;0640013S;PAUL BERT;NON;NON;Dans QP
Hors EP;0640026F;DE L'HABITAT ET L'INDUSTRIE;NON;NON;
Hors EP;0640028H;AIZPURDI;NON;NON;
Hors EP;0640031L;ANDRE CAMPA;NON;NON;
Hors EP;0640040W;JEAN-PIERRE CHAMPO;NON;NON;
Hors EP;0640042Y;HAUTE VUE;NON;NON;
Hors EP;0640049F;LYCEE GUYNEMER;NON;NON;
Hors EP;0640050G;DU 4 SEPTEMBRE 1870;NON;NON;
Hors EP;0640053K;FRANCIS JAMMES;NON;NON;
Hors EP;0640058R;HONORE BARADAT;NON;NON;Dans QP
Hors EP;0640066Z;RAMIRO ARRUE;NON;NON;
Hors EP;0640079N;PIERRE ET MARIE CURIE;NON;NON;
Hors EP;0640080P;MOLIERE;NON;NON;
Hors EP;0640098J;D'ART GABRIEL HAURE-PLACE;NON;NON;
Hors EP;0031043T;ALBERT EINSTEIN;NON;NON;Dans QP
Hors EP;0030061A;ALBERT LONDRES;NON;NON;Dans QP
Hors EP;0030905T;GUSTAVE EIFFEL;NON;NON;
Hors EP;0030924N;VAL D'ALLIER;NON;NON;
Hors EP;0150008C;RAYMOND CORTAT;NON;NON;
Hors EP;0150022T;JOSEPH CONSTANT;NON;NON;
Hors EP;0430023S;AUGUSTE AYMARD;NON;NON;
Hors EP;0430024T;JEAN MONNET;NON;NON;Dans QP
Hors EP;0630012W;FRANCOIS RABELAIS;NON;NON;
Hors EP;0630022G;ROGER CLAUSTRES;NON;NON;
Hors EP;0630024J;AMEDEE GASQUET;NON;NON;
Hors EP;0630041C;HENRI SAINTE-CLAIRE DEVILLE;NON;NON;
Hors EP;0630054S;MARIE LAURENCIN;NON;NON;
Hors EP;0630061Z;DESAIX;NON;NON;
Hors EP;0630078T;GERMAINE TILLION;NON;NON;Dans QP
Hors EP;0631480S;PIERRE BOULANGER;NON;NON;
Hors EP;0632091F;GERGOVIE;NON;NON;
Hors EP;6200003J;JULES ANTONINI;NON;NON;Dans QP
Hors EP;6200004K;FINOSELLO;NON;NON;Dans QP
Hors EP;7200011Z;SCAMARONI;NON;NON;Dans QP
Hors EP;7200093N;JEAN NICOLI;NON;NON;Dans QP
Hors EP;0772244W;ANTONIN CAREME;NON;NON;Dans QP
Hors EP;0772312V;FLORA TRISTAN;NON;NON;
Hors EP;0770943G;BENJAMIN FRANKLIN;NON;NON;
Hors EP;0770944H;AUGUSTE PERDONNET;NON;NON;
Hors EP;0770945J;GUSTAVE EIFFEL;NON;NON;
Hors EP;0771171E;LOUIS LUMIERE;NON;NON;
Hors EP;0771880A;CHARLES BAUDELAIRE;NON;NON;Dans QP
Hors EP;0771995A;LE CHAMP DE CLAYE;NON;NON;
Hors EP;0771997C;JACQUES PREVERT;NON;NON;
Hors EP;0772225A;LINO VENTURA;NON;NON;
Hors EP;0931779D;L'HORTICULTURE ET PAYSAGE JEAN;NON;NON;Dans QP
Hors EP;0932122B;D'ALEMBERT;NON;NON;Dans QP
Hors EP;0932123C;ANDRE SABATIER;NON;NON;Dans QP
Hors EP;0932126F;FRANCOIS RABELAIS;NON;NON;Dans QP
Hors EP;0932129J;APPLICATION DE L'ENNA;NON;NON;Dans QP
Hors EP;0932282A;LEO LAGRANGE;NON;NON;Dans QP
Hors EP;0930128J;DENIS PAPIN;NON;NON;Dans QP
Hors EP;0930129K;MADELEINE VIONNET;NON;NON;Dans QP
Hors EP;0930130L;CONDORCET;NON;NON;Dans QP
Hors EP;0930133P;THEODORE MONOD;NON;NON;Dans QP
Hors EP;0930135S;SIMONE WEIL;NON;NON;Dans QP
Hors EP;0930138V;FREDERIC BARTHOLDI;NON;NON;Dans QP
Hors EP;0930831Y;ARISTIDE BRIAND;NON;NON;Dans QP
Hors EP;0930846P;VOILLAUME;NON;NON;Dans QP
Hors EP;0931024H;JEAN-PIERRE TIMBAUD;NON;NON;Dans QP
Hors EP;0931193S;HELENE BOUCHER;NON;NON;Dans QP
Hors EP;0931198X;ALFRED COSTES;NON;NON;Dans QP
Hors EP;0931233K;JEAN-BAPTISTE CLEMENT;NON;NON;Dans QP
Hors EP;0931739K;JEAN MOULIN;NON;NON;Dans QP
Hors EP;0940141T;JACQUES BREL;NON;NON;Dans QP
Hors EP;0941355M;PAUL BERT;NON;NON;
Hors EP;0941975L;PIERRE BROSSOLETTE;NON;NON;Dans QP
Hors EP;0942130E;MONTALEAU;NON;NON;Dans QP
Hors EP;0940132H;GABRIEL PERI;NON;NON;Dans QP
Hors EP;0940134K;VAL DE BIEVRE;NON;NON;Dans QP
Hors EP;0940137N;LA SOURCE;NON;NON;
Hors EP;0940138P;ARMAND GUILLAUMIN;NON;NON;Dans QP
Hors EP;0940140S;GOURDOU-LESEURRE;NON;NON;
Hors EP;0940143V;JEAN MOULIN;NON;NON;
Hors EP;0940145X;CAMILLE CLAUDEL;NON;NON;Dans QP
Hors EP;0941232D;JEAN MACE;NON;NON;Dans QP
Hors EP;0941298A;MICHELET;NON;NON;Dans QP
Hors EP;0210056X;EUGENE GUILLAUME;NON;NON;
Hors EP;0211356K;ANTOINE;NON;NON;Dans QP
Hors EP;0580020G;PIERRE BEREGOVOY;NON;NON;
Hors EP;0580042F;LE MONT-CHATELET;NON;NON;
Hors EP;0580050P;JEAN ROSTAND;NON;NON;Dans QP
Hors EP;0580552K;FRANCOIS MITTERRAND;NON;NON;
Hors EP;0710080B;ALEXANDRE DUMAINE;NON;NON;
Hors EP;0710087J;ASTIER;NON;NON;
Hors EP;0711322B;JEANNETTE GUYOT;NON;NON;
Hors EP;0711384U;CLAUDIE HAIGNERE;NON;NON;Dans QP
Hors EP;0890053Z;PIERRE ET MARIE CURIE;NON;NON;Dans QP
Hors EP;0890819G;VAUBAN;NON;NON;Dans QP
Hors EP;0891159B;SAINT GERMAIN;NON;NON;Dans QP
Hors EP;0070002P;JOSEPH ET ETIENNE MONTGOLFIER;NON;NON;Dans QP
Hors EP;0070009X;LEON PAVIN;NON;NON;
Hors EP;0070016E;HOTELIER;NON;NON;
Hors EP;0070031W;MARIUS BOUVIER;NON;NON;
Hors EP;0260037Z;VICTOR HUGO;NON;NON;Dans QP
Hors EP;0260044G;AUGUSTE BOUVET;NON;NON;Dans QP
Hors EP;0260116K;MONTESQUIEU;NON;NON;Dans QP
Hors EP;0261100E;AMBLARD;NON;NON;Dans QP
Hors EP;0261148G;HOTELIER DE L'HERMITAGE;NON;NON;
Hors EP;0740047Z;SAVOIE LEMAN;NON;NON;
Hors EP;0740014N;HOTELIER FRANCOIS BISE;NON;NON;Dans QP
Hors EP;0740031G;PORTE DES ALPES;NON;NON;
Hors EP;0740054G;GERMAIN SOMMEILLER;NON;NON;
Hors EP;0740059M;DU CHABLAIS;NON;NON;Dans QP
Hors EP;0740062R;AMEDEE GORDINI;NON;NON;
Hors EP;0741164N;TOM MOREL;NON;NON;
Hors EP;0380035G;LESDIGUIERES;NON;NON;Dans QP
Hors EP;0382099A;ROGER DESCHAUX;NON;NON;
Hors EP;0380010E;GAMBETTA;NON;NON;
Hors EP;0380023U;JACQUES PREVERT;NON;NON;
Hors EP;0380036H;GUYNEMER;NON;NON;Dans QP
Hors EP;0381602K;L'ODYSSEE;NON;NON;
Hors EP;0382031B;THOMAS EDISON;NON;NON;Dans QP
Hors EP;0382271M;JEAN CLAUDE AUBRY;NON;NON;
Hors EP;0382274R;FRANCOISE DOLTO;NON;NON;
Hors EP;0730006K;LE GRAND ARC;NON;NON;Dans QP
Hors EP;0730012S;HOTELIER;NON;NON;
Hors EP;0730032N;LE NIVOLET;NON;NON;
Hors EP;0730039W;GENERAL FERRIE;NON;NON;
Hors EP;0731043M;LA CARDINIERE;NON;NON;Dans QP
Hors EP;9711066G;DE L'HOTELLERIE ET DU TOURISME;NON;NON;
Hors EP;9710052E;LOUIS DELGRES;NON;NON;Dans QP
Hors EP;9710090W;BERTENE JUMINER;NON;NON;
Hors EP;9710418C;PAUL LACAVE;NON;NON;Dans QP
Hors EP;9710690Y;DUCHARMOY;NON;NON;
Hors EP;9710709U;GERTY ARCHIMEDE;NON;NON;
Hors EP;9710746J;AUGUSTIN ARRON;NON;NON;
Hors EP;9710981P;DANIELLA JEFFRY;NON;NON;
Hors EP;9730003R;MAX JOSEPHINE;NON;NON;Dans QP
Hors EP;9730094P;JEAN-MARIE MICHOTTE;NON;NON;Dans QP
Hors EP;9730563Z;LARIVOT;NON;NON;
Hors EP;9741233X;NELSON MANDELA;NON;NON;Dans QP
Hors EP;9740004L;ROCHES MAIGRES;NON;NON;Dans QP
Hors EP;9740015Y;VUE BELLE;NON;NON;
Hors EP;9740020D;VICTOR SCHOELCHER;NON;NON;Dans QP
Hors EP;9740082W;JULIEN DE RONTAUNAY;NON;NON;Dans QP
Hors EP;9740472V;DE LA MAINTENANCE ET SECURITE ;NON;NON;Dans QP
Hors EP;9740479C;AMIRAL LACAZE;NON;NON;Dans QP
Hors EP;9740552G;LEON DE LEPERVANCHE;NON;NON;Dans QP
Hors EP;9740575G;FRANCOIS DE MAHY;NON;NON;Dans QP
Hors EP;9740737H;ALBERT RAMASSAMY;NON;NON;Dans QP
Hors EP;9740738J;HOTELIER CHRISTIAN ANTOU;NON;NON;Dans QP
Hors EP;9740910W;JEAN PERRIN;NON;NON;Dans QP
Hors EP;9740921H;ISNELLE AMELIN;NON;NON;
Hors EP;9740934X;PAUL LANGEVIN;NON;NON;Dans QP
Hors EP;0590215N;SEVIGNE;NON;NON;Dans QP
Hors EP;0590258K;GASTON BERGER;NON;NON;Dans QP
Hors EP;0590005K;PIERRE-JOSEPH FONTAINE;NON;NON;Dans QP
Hors EP;0590015W;PIERRE ET MARIE CURIE;NON;NON;Dans QP
Hors EP;0590037V;LOUISE DE BETTIGNIES;NON;NON;Dans QP
Hors EP;0590098L;PLACIDE COURTOY;NON;NON;Dans QP
Hors EP;0590102R;DES MONTS DE FLANDRE;NON;NON;Dans QP
Hors EP;0590111A;SONIA DELAUNAY;NON;NON;
Hors EP;0590125R;HOTELIER INTERNATIONAL DE LILL;NON;NON;Dans QP
Hors EP;0590133Z;MAURICE DUHAMEL;NON;NON;Dans QP
Hors EP;0590144L;AUTOMOBILE ALFRED MONGY;NON;NON;Dans QP
Hors EP;0590186G;TURGOT;NON;NON;Dans QP
Hors EP;0590187H;LOUIS LOUCHEUR;NON;NON;Dans QP
Hors EP;0590189K;LAVOISIER;NON;NON;Dans QP
Hors EP;0590198V;GEORGES GUYNEMER;NON;NON;Dans QP
Hors EP;0590216P;LE CORBUSIER;NON;NON;Dans QP
Hors EP;0590217R;SEVIGNE;NON;NON;Dans QP
Hors EP;0590249A;JACQUES-YVES COUSTEAU;NON;NON;
Hors EP;0590252D;LOUIS-LEOPOLD BOILLY;NON;NON;
Hors EP;0590255G;GUY DEBEYRE;NON;NON;
Hors EP;0590257J;ILE DE FLANDRE;NON;NON;Dans QP
Hors EP;0590263R;FERNAND LEGER;NON;NON;Dans QP
Hors EP;0590264S;ALFRED KASTLER;NON;NON;Dans QP
Hors EP;0590266U;CESAR BAGGIO;NON;NON;Dans QP
Hors EP;0590270Y;DU HAINAUT;NON;NON;Dans QP
Hors EP;0592610S;PIERRE-JOSEPH LAURENT;NON;NON;Dans QP
Hors EP;0592611T;LOUIS BLERIOT;NON;NON;Dans QP
Hors EP;0592712C;LOUIS ARMAND;NON;NON;Dans QP
Hors EP;0592832H;VERTES FEUILLES;NON;NON;Dans QP
Hors EP;0592850C;ANTOINE DE SAINT EXUPERY;NON;NON;
Hors EP;0593495D;PAUL LANGEVIN;NON;NON;Dans QP
Hors EP;0594302F;FRANCOIS MANSART;NON;NON;
Hors EP;0594375K;DINAH DERYCKE;NON;NON;
Hors EP;0594400M;AUTOMOBILE ET TRANSPORTS;NON;NON;Dans QP
Hors EP;0594404S;RENE CASSIN;NON;NON;Dans QP
Hors EP;0594532F;AMBROISE CROIZAT;NON;NON;Dans QP
Hors EP;0594652L;DES PLAINES DU NORD;NON;NON;Dans QP
Hors EP;0594653M;ANDRE JURENIL;NON;NON;Dans QP
Hors EP;0595480L;ILE JEANTY;NON;NON;Dans QP
Hors EP;0595678B;LEONARD DE VINCI;NON;NON;
Hors EP;0595787V;ALAIN SAVARY;NON;NON;Dans QP
Hors EP;0595856V;DE L'YSER;NON;NON;
Hors EP;0596957S;AIME CESAIRE;NON;NON;Dans QP
Hors EP;0622807P;HOTELIER;NON;NON;
Hors EP;0620011A;JACQUES LE CARON;NON;NON;Dans QP
Hors EP;0620018H;FERNAND DEGRUGILLIER;NON;NON;Dans QP
Hors EP;0620030W;PHILIPPE AUGUSTE;NON;NON;
Hors EP;0620043K;SALVADOR ALLENDE;NON;NON;Dans QP
Hors EP;0620110H;AUGUSTE BEHAL;NON;NON;Dans QP
Hors EP;0620121V;FLORA TRISTAN;NON;NON;Dans QP
Hors EP;0620124Y;BERNARD CHOCHOY;NON;NON;
Hors EP;0620131F;DES DEUX CAPS;NON;NON;Dans QP
Hors EP;0620150B;IRENE JOLIOT-CURIE;NON;NON;Dans QP
Hors EP;0620162P;DU PAYS DE SAINT-OMER;NON;NON;Dans QP
Hors EP;0620167V;PIERRE MENDES-FRANCE;NON;NON;
Hors EP;0620187S;JULES VERNE;NON;NON;Dans QP
Hors EP;0620188T;DU DETROIT;NON;NON;
Hors EP;0620189U;PIERRE DE COUBERTIN;NON;NON;Dans QP
Hors EP;0620190V;HENRI DARRAS;NON;NON;Dans QP
Hors EP;0620192X;PIERRE MENDES-FRANCE;NON;NON;Dans QP
Hors EP;0620220C;LA PEUPLERAIE;NON;NON;Dans QP
Hors EP;0620221D;PROFESSEUR CLERC;NON;NON;Dans QP
Hors EP;0620257T;SAVARY - FERRY;NON;NON;Dans QP
Hors EP;0620258U;VOLTAIRE;NON;NON;Dans QP
Hors EP;0622089J;ANDRE MALRAUX;NON;NON;Dans QP
Hors EP;0622275L;JEAN-CHARLES CAZIN;NON;NON;Dans QP
Hors EP;0622801H;DES TRAVAUX PUBLICS JEAN BERTI;NON;NON;Dans QP
Hors EP;0623328F;HENRI SENEZ;NON;NON;
Hors EP;0623377J;FRANCOIS HENNEBIQUE;NON;NON;Dans QP
Hors EP;0623463C;NORMANDIE-NIEMEN;NON;NON;Dans QP
Hors EP;0623864N;MAXIMILIEN DE ROBESPIERRE;NON;NON;Dans QP
Hors EP;0190008F;BORT-ARTENSE;NON;NON;
Hors EP;0190027B;MARCEL BARBANCEYS;NON;NON;
Hors EP;0190034J;RENE CASSIN;NON;NON;
Hors EP;0190045W;GEORGES CABANIS;NON;NON;
Hors EP;0190674E;BERNART DE VENTADOUR;NON;NON;
Hors EP;0190701J;LAVOISIER;NON;NON;Dans QP
Hors EP;0230018V;DES METIERS DU BATIMENT;NON;NON;
Hors EP;0230003D;JEAN JAURES;NON;NON;
Hors EP;0230008J;DELPHINE GAY;NON;NON;
Hors EP;0230027E;LOUIS GASTON ROUSSILLAT;NON;NON;
Hors EP;0871030X;JEAN MONNET;NON;NON;
Hors EP;0875023M;MARYSE BASTIE;NON;NON;
Hors EP;0870004G;MARTIN NADAUD;NON;NON;
Hors EP;0870013S;GEORGE SAND;NON;NON;
Hors EP;0870041X;EDOUARD VAILLANT;NON;NON;
Hors EP;0870051H;JEAN BAPTISTE DARNET;NON;NON;
Hors EP;0870058R;ANTOINE DE SAINT-EXUPERY;NON;NON;
Hors EP;0870119G;RAOUL DAUTRY;NON;NON;Dans QP
Hors EP;0870730W;MARCEL PAGNOL;NON;NON;Dans QP
Hors EP;0870748R;LE MAS JAMBOST;NON;NON;Dans QP
Hors EP;0010001W;ALEXANDRE BERARD;NON;NON;
Hors EP;0010020S;GEORGES CHARPAK;NON;NON;
Hors EP;0010021T;MARCELLE PARDE;NON;NON;Dans QP
Hors EP;0011118K;GABRIEL VOISIN;NON;NON;Dans QP
Hors EP;0420021V;PIERRE COTON;NON;NON;
Hors EP;0420029D;RENE CASSIN;NON;NON;Dans QP
Hors EP;0420049A;BENOIT CHARVET;NON;NON;Dans QP
Hors EP;0420065T;DU HAUT FOREZ;NON;NON;
Hors EP;0420073B;JACOB HOLTZER;NON;NON;Dans QP
Hors EP;0420074C;ALBERT CAMUS;NON;NON;Dans QP
Hors EP;0420075D;BEAUREGARD;NON;NON;Dans QP
Hors EP;0420076E;CARNOT;NON;NON;Dans QP
Hors EP;0420077F;ALBERT THOMAS;NON;NON;Dans QP
Hors EP;0420078G;CLAUDE LEBOIS;NON;NON;Dans QP
Hors EP;0420079H;ETIENNE MIMARD;NON;NON;Dans QP
Hors EP;0420958N;BENOIT FOURNEYRON;NON;NON;Dans QP
Hors EP;0421489R;ETIENNE LEGRAND;NON;NON;
Hors EP;0421606T;ADRIEN TESTUD;NON;NON;Dans QP
Hors EP;0421691K;PIERRE DESGRANGES;NON;NON;Dans QP
Hors EP;0421736J;HOTELIER;NON;NON;
Hors EP;0690040U;HECTOR GUIMARD;NON;NON;Dans QP
Hors EP;0693504J;FRANCOIS RABELAIS;NON;NON;
Hors EP;0690003D;BARTHELEMY THIMONNIER;NON;NON;
Hors EP;0690008J;GUSTAVE EIFFEL;NON;NON;Dans QP
Hors EP;0690010L;TONY GARNIER;NON;NON;Dans QP
Hors EP;0690018V;DANIELLE CASANOVA;NON;NON;Dans QP
Hors EP;0690043X;JACQUES DE FLESSELLES;NON;NON;
Hors EP;0690045Z;JEAN LURCAT;NON;NON;Dans QP
Hors EP;0690046A;LOUISE LABE;NON;NON;Dans QP
Hors EP;0690047B;MAGENTA;NON;NON;Dans QP
Hors EP;0690048C;DIDEROT;NON;NON;
Hors EP;0690092A;DU 1ER FILM;NON;NON;Dans QP
Hors EP;0690093B;HELENE BOUCHER;NON;NON;Dans QP
Hors EP;0690105P;EMILE BEJUIT (AUTOMOBILE);NON;NON;Dans QP
Hors EP;0690107S;ALFRED DE MUSSET;NON;NON;Dans QP
Hors EP;0690109U;MARIE CURIE;NON;NON;Dans QP
Hors EP;0690125L;CAMILLE CLAUDEL;NON;NON;
Hors EP;0690129R;EDMOND LABBE;NON;NON;Dans QP
Hors EP;0690281F;JOSEPH-MARIE JACQUARD;NON;NON;Dans QP
Hors EP;0691626T;GEORGES LAMARQUE;NON;NON;Dans QP
Hors EP;0692418D;MARC SEGUIN;NON;NON;Dans QP
Hors EP;0692968B;ANDRE CUZIN;NON;NON;
Hors EP;0693045K;LES CANUTS;NON;NON;Dans QP
Hors EP;0693094N;FERNAND FOREST;NON;NON;Dans QP
Hors EP;0693095P;FRANCOIS CEVERT;NON;NON;Dans QP
Hors EP;9720005Y;DUMAS JEAN-JOSEPH;NON;NON;Dans QP
Hors EP;9720091S;LEOPOLD BISSOL;NON;NON;Dans QP
Hors EP;9720424D;LUMINA SOPHIE;NON;NON;
Hors EP;9720429J;MARIUS CULTIER (EX DILLON);NON;NON;Dans QP
Hors EP;9720430K;LA TRINITE;NON;NON;
Hors EP;9720468B;RAYMOND NERIS;NON;NON;
Hors EP;9720501M;CHATEAUBOEUF;NON;NON;Dans QP
Hors EP;9720515C;ANDRE ALIKER;NON;NON;Dans QP
Hors EP;9720844K;PLACE D ARMES;NON;NON;
Hors EP;9760220K;DE DZOUMOGNE;NON;NON;Dans QP
Hors EP;0110027V;EDOUARD HERRIOT;NON;NON;
Hors EP;0110823K;CHARLES CROS;NON;NON;Dans QP
Hors EP;0300011Z;PAUL LANGEVIN;NON;NON;Dans QP
Hors EP;0300041G;MARIE CURIE;NON;NON;
Hors EP;0300057Z;GASTON DARBOUX;NON;NON;Dans QP
Hors EP;0300058A;FREDERIC MISTRAL;NON;NON;
