Identifiant_de_l_etablissement,Nom_etablissement,Type_etablissement,Statut_public_prive,Segpa,Lycee_Agricole,Lycee_militaire,code_nature,libelle_nature,Code_type_contrat_prive,etablissement_mere,type_rattachement_etablissement_mere,
0291654R,Lycée Saint-Joseph,Lycée,Privé,0,0,0,,306,LYCEE POLYVALENT,0290132L,,
0341477W,Lycée d'enseignement agricole privé Bonne Terre,Lycée,Privé,0,1,0,,320,LYCEE PROFESSIONNEL,,,
0110942P,Lycée agricole - centre polyvalent de formation professionnelle la Rouatière,Lycée,Privé,0,1,0,,320,LYCEE PROFESSIONNEL,,,
0820724S,Lycée d'enseignement agricole privé Lestonnac,Lycée,Privé,0,1,0,,320,LYCEE PROFESSIONNEL,,,
0530048P,Lycée de l'Immaculée Conception,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0530061D,,
9720776L,Collège Adventiste Rama,Collège,Privé,0,0,0,,340,COLLEGE,9720498J,,
0301824V,Lycée agricole privé Institut Emmanuel d'Alzon - site de Vestric et Candiac,Lycée,Privé,0,1,0,,320,LYCEE PROFESSIONNEL,,,
0301324B,Lycée professionnel agricole privé de Meynes,Lycée,Privé,0,1,0,,320,LYCEE PROFESSIONNEL,,,
0340920R,Lycée privé polyvalent Turgot,Lycée,Privé,0,0,0,,320,LYCEE PROFESSIONNEL,0341385W,,
0772290W,Lycée Sainte-Croix,Lycée,Privé,0,0,0,,302,LYCEE D ENSEIGNEMENT GENERAL,0771176K,,
0692924D,Collège Saint-Thomas d'Aquin,Collège,Privé,0,0,0,,340,COLLEGE,0690541N,,
0070092M,Collège Notre-Dame,Collège,Privé,0,0,0,,340,COLLEGE,0070848J,,
0300109F,Lycée professionnel privé Pasteur,Lycée,Privé,0,0,0,,320,LYCEE PROFESSIONNEL,0301012M,,
0133866G,École secondaire privée Bnei Elazar,Collège,Privé,0,0,0,,340,COLLEGE,,,
0221673Z,École Saint-Ilan,Lycée,Privé,0,1,0,,320,LYCEE PROFESSIONNEL,,,
0762569E,Collège la Providence,Collège,Privé,0,0,0,,340,COLLEGE,0760026R,,
0260092J,Collège privé François Gondin,Collège,Privé,0,0,0,,340,COLLEGE,0260027N,,
0120059Z,Lycée général et technologique privé Saint-Gabriel,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0120025M,,
0753809H,Lycée privé Paul Claudel-d'Hulst,Lycée,Privé,0,0,0,,302,LYCEE D ENSEIGNEMENT GENERAL,0752912H,,
9710054G,Lycée Maîtrise de Massabielle,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,9710686U,,
0141172Y,Lycée Marie Joseph,Lycée,Privé,0,0,0,,302,LYCEE D ENSEIGNEMENT GENERAL,0140043W,,
0110044N,Collège privé Jeanne d'Arc,Collège,Privé,0,0,0,,340,COLLEGE,0110007Y,,
0761330H,Collège Saint-Charles de Foucauld,Collège,Privé,0,0,0,,340,COLLEGE,0760046M,,
0720808M,Collège Saint-Michel,Collège,Privé,0,0,0,,340,COLLEGE,0721478R,,
0141169V,Institution Frémont,Lycée,Privé,0,0,0,,302,LYCEE D ENSEIGNEMENT GENERAL,0141315D,,
0381667F,Collège privé Notre-Dame de Sion,Collège,Privé,0,0,0,,340,COLLEGE,0383370G,,
0290236Z,Collège Javouhey,Collège,Privé,0,0,0,,340,COLLEGE,0290012F,,
0951507X,Collège Saint-Martin de France,Collège,Privé,0,0,0,,340,COLLEGE,0950896H,,
0010080G,Collège Jeanne d'Arc,Collège,Privé,0,0,0,,340,COLLEGE,0010079F,,
0940880W,Lycée Albert de Mun,Lycée,Privé,0,0,0,,302,LYCEE D ENSEIGNEMENT GENERAL,,,
0061462G,Lycée professionnel Don Bosco,Lycée,Privé,0,0,0,,320,LYCEE PROFESSIONNEL,0060838D,,
0700077D,Lycée professionnel privé Notre-Dame de la Compassion,Lycée,Privé,1,0,0,,320,LYCEE PROFESSIONNEL,0700896U,,
0480025S,Lycée privé polyvalent Notre-Dame,Lycée,Privé,0,0,0,,306,LYCEE POLYVALENT,0480032Z,,
0451329A,Collège privé Saint-Charles,Collège,Privé,0,0,0,,340,COLLEGE,0450785J,,
0180796T,Collège privé Sainte-Marie,Collège,Privé,0,0,0,,340,COLLEGE,0180678P,,
0830098F,Lycée Externat Saint-Joseph (La Cordeille),Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0830472M,,
0342175E,Lycée privé polyvalent La Merci Littoral,Lycée,Privé,0,0,0,,306,LYCEE POLYVALENT,,,
0511147V,Lycée polyvalent Frédéric Ozanam,Lycée,Privé,1,1,0,0,,306,30,0511083A,
0370729S,Collège privé Saint-Martin,Collège,Privé,1,0,0,,340,COLLEGE,0370045Y,,
0280664V,Collège privé Saint-Jacques de compostelle,Collège,Privé,0,0,0,,340,COLLEGE,0281043G,,
0390074U,Collège privé Saint-Just,Collège,Privé,0,0,0,,340,COLLEGE,0390042J,,
0752843H,Collège privé Blomet,Collège,Privé,0,0,0,,340,COLLEGE,0750263D,,
0771917R,Collège Bautain,Collège,Privé,0,0,0,,340,COLLEGE,0772751X,,
0251587P,Collège Saint-Joseph,Collège,Privé,0,0,0,,340,COLLEGE,0251589S,,
0490829K,Collège Jeanne d'Arc,Collège,Privé,0,0,0,,340,COLLEGE,0490858S,,
0220166L,Collège Notre-Dame des Fontaines,Collège,Privé,0,0,0,,340,COLLEGE,0221542G,,
0761331J,Collège Institution Sainte-Croix,Collège,Privé,0,0,0,,340,COLLEGE,0761784B,,
0640146L,Collège Immaculée Conception,Collège,Privé,0,0,0,,340,COLLEGE,0640146L,,
0860768T,Collège privé Saint-Martial,Collège,Privé,0,0,0,,340,COLLEGE,0860031S,,
0332327A,Collège Saint-Clément,Collège,Privé,0,0,0,,340,COLLEGE,0331527F,,
0120084B,Collège Sainte-Marie,Collège,Privé,0,0,0,,340,COLLEGE,0120019F,,
0120091J,Collège Saint-Matthieu,Collège,Privé,0,0,0,,340,COLLEGE,0121295T,,
0301751R,Collège privé Institut Emmanuel d'Alzon - site du Grau du roi,Collège,Privé,0,0,0,,340,COLLEGE,,,
0642114A,Collège Estitxu Robles,Collège,Privé,0,0,0,,340,COLLEGE,0642114A,,
0490858S,Collège Saint-Joseph,Collège,Privé,0,0,0,,340,COLLEGE,0490858S,,
0320686X,Collège Saint-Joseph,Collège,Privé,0,0,0,,340,COLLEGE,0320578E,,
0340897R,Collège privé Sainte-Thérèse,Collège,Privé,0,0,0,,340,COLLEGE,,,
0241075N,Collège Saint-Joseph,Collège,Privé,0,0,0,,340,COLLEGE,0240942U,,
0660058E,Collège privé Saint-Louis de Gonzague,Collège,Privé,0,0,0,,340,COLLEGE,0660077A,,
0292055B,Collège Diwan Penn ar Bed (enseignement immersif en breton),Collège,Privé,0,0,0,,340,COLLEGE,0291968G,,
0753978S,Collège privé Saint-Ambroise,Collège,Privé,0,0,0,,340,COLLEGE,0750234X,,
0911752K,Collège Saint-Louis - Saint-Clément,Collège,Privé,0,0,0,,340,COLLEGE,,,
0410684W,Collège privé Notre-Dame,Collège,Privé,0,0,0,,340,COLLEGE,0410019Y,,
0280674F,Collège privé Saint-Paul,Collège,Privé,0,0,0,,340,COLLEGE,0280006E,,
0131689R,Collège Saint-Vincent-de-Paul,Collège,Privé,1,0,0,,340,COLLEGE,0133396W,,
0560135T,Collège Saint-Maurice,Collège,Privé,0,0,0,,340,COLLEGE,0560058J,,
0560118Z,Collège Sacré-Coeur,Collège,Privé,1,0,0,,340,COLLEGE,0560050A,,
0560154N,Collège Sainte-Croix,Collège,Privé,0,0,0,,340,COLLEGE,0560009F,,
0350835T,Collège La Tour d'Auvergne La Salle,Collège,Privé,0,0,0,,340,COLLEGE,0351638R,,
0251062U,Collège privé du Sacré-Coeur,Collège,Privé,0,0,0,,340,COLLEGE,0251372F,,
0940884A,Collège de Maille,Collège,Privé,0,0,0,,340,COLLEGE,,, 5 ET 10)
0740117A,Collège privé Saint-Bruno,Collège,Privé,0,0,0,,340,COLLEGE,0740001Z,,
0500153V,Collège Notre-Dame,Collège,Privé,0,0,0,,340,COLLEGE,0500112A,,
0951504U,Collège Notre Dame de la Providence,Collège,Privé,0,0,0,,340,COLLEGE,0950930V,,
0280680M,Collège privé Notre-Dame,Collège,Privé,0,0,0,,340,COLLEGE,0280884J,,
0921915G,Collège Passy Saint-Nicolas Buzenval,Collège,Privé,0,0,0,,340,COLLEGE,0920332L,,
0750182R,Collège privé Saint-Louis,Collège,Privé,0,0,0,,340,COLLEGE,0750346U,,
0941709X,Collège privé du Sacré-Coeur,Collège,Privé,0,0,0,,340,COLLEGE,,, 8 ET 9)
0752920S,Collège privé Massillon,Collège,Privé,0,0,0,,340,COLLEGE,0750132L,,
0911601W,Collège Rudolf Steiner,Collège,Privé,0,0,0,,340,COLLEGE,,,
0352319F,Collège Saint-Gabriel,Collège,Privé,0,0,0,,340,COLLEGE,0352274G,,
0490849G,Collège Notre-Dame,Collège,Privé,0,0,0,,340,COLLEGE,0490867B,,
0442388G,Collège du Cens,Collège,Privé,0,0,0,,340,COLLEGE,,,
0930962R,Lycée général privé Charles Péguy,Lycée,Privé,0,0,0,,302,LYCEE D ENSEIGNEMENT GENERAL,,,
0060774J,Lycée Saint-Joseph,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0060032C,,
0441930J,Collège Saint-Joseph,Collège,Privé,1,0,0,,340,COLLEGE,0441202T,,
0440228J,Collège le Sacré-Coeur,Collège,Privé,0,0,0,,340,COLLEGE,0441149K,,
0720815V,Collège du Sacré-Coeur de Pontlieue,Collège,Privé,0,0,0,,340,COLLEGE,0720815V,,
0480034B,Collège privé Sainte-Marie,Collège,Privé,0,0,0,,340,COLLEGE,0480011B,,
0221747E,Collège Saint-Joseph,Collège,Privé,0,0,0,,340,COLLEGE,0221509W,,
0350839X,Collège Saint-Hélier,Collège,Privé,0,0,0,,340,COLLEGE,0350760L,,
0390073T,Collège privé Notre-Dame de la Salette,Collège,Privé,0,0,0,,340,COLLEGE,0390004T,,
0622134H,Collège Saint-Druon,Collège,Privé,0,0,0,,340,COLLEGE,0622115M,,
0440184L,Collège Saint-Hermeland,Collège,Privé,0,0,0,,340,COLLEGE,0441066V,,
0560128K,Collège Saint-Joseph,Collège,Privé,0,0,0,,340,COLLEGE,0560215E,,
0791016A,Collège privé Notre-Dame,Collège,Privé,0,0,0,,340,COLLEGE,0791016A,,
0690587N,Collège les Marronniers,Collège,Privé,0,0,0,,340,COLLEGE,0690015S,,
0220177Y,Collège Saint-Yves,Collège,Privé,0,0,0,0,,340,30,0221542G,
0561399S,Collège Notre-Dame de la Clarté,Collège,Privé,0,0,0,,340,COLLEGE,0561332U,,
0260096N,Collège privé Anne Cartier,Collège,Privé,0,0,0,,340,COLLEGE,0260021G,,
0291655S,Collège Saint-Charles,Collège,Privé,0,0,0,,340,COLLEGE,0291968G,,
0290252S,Collège Notre-Dame des Portes,Collège,Privé,0,0,0,,340,COLLEGE,0292006Y,,
0132923G,Collège Chevreul Blancarde,Collège,Privé,0,0,0,,340,COLLEGE,0132923G,,
0134250Z,Lycée général privé Bnei Elazar,Lycée,Privé,0,0,0,,302,LYCEE D ENSEIGNEMENT GENERAL,,,
0132283L,Collège Saint-Charles,Collège,Privé,0,0,0,,340,COLLEGE,0131381F,,
0430092S,Collège La Présentation,Collège,Privé,0,0,0,,340,COLLEGE,0430013F,,
0170120N,Collège privé Jeanne d'Arc-Notre Dame,Collège,Privé,0,0,0,,340,COLLEGE,0170605R,,
0680136D,Collège privé Sainte-Ursule,Collège,Privé,0,0,0,,340,COLLEGE,0680112C,,
0320651J,Collège Saint-Joseph,Collège,Privé,1,0,0,,340,COLLEGE,0320578E,,
0641702C,Collège Ikastola Xalbador,Collège,Privé,0,0,0,,340,COLLEGE,0641702C,,
9830273E,Lycée professionnel privé Gabriel Rivat,Lycée,Privé,0,0,0,,320,LYCEE PROFESSIONNEL,,,
9840465H,Lycée La Mennais,Lycée,Privé,0,0,0,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,30,,,
9840020Z,Collège Sainte-Anne,Collège,Privé,0,0,0,340,COLLEGE,30,,,
9840161C,Collège - Lycée du Sacré-Coeur de Taravao,Collège,Privé,0,0,0,340,COLLEGE,30,,,
9830263U,Collège privé Marie-Reine Thabor (DDEC),Collège,Privé,0,0,0,,340,COLLEGE,,,
9830313Y,Collège privé Yves-Marie Hily (DDEC),Collège,Privé,0,0,0,340,COLLEGE,30,,,
9840014T,Collège Anne-Marie Javouhey de Papeete,Collège,Privé,0,0,0,340,COLLEGE,30,,,
9830447U,Collège privé Eben Eza (ASEE),Collège,Privé,0,0,0,340,COLLEGE,30,,,
0680159D,Lycée professionnel privé Saint-Joseph de Cluny,Lycée,Privé,0,0,0,,320,LYCEE PROFESSIONNEL,0681661L,,
0671611M,Lycée privé La Doctrine Chrétienne,Lycée,Privé,0,0,0,,302,LYCEE D ENSEIGNEMENT GENERAL,0672383B,,
0350776D,Lycée polyvalent Saint-Vincent Providence,Lycée,Privé,0,0,0,,306,LYCEE POLYVALENT,0351638R,,
0351930H,Lycée polyvalent La Providence,Lycée,Privé,0,0,0,,306,LYCEE POLYVALENT,0352247C,,
0440255N,Lycée professionnel ENCIA,Lycée,Privé,0,0,0,,320,LYCEE PROFESSIONNEL,,,
0440151A,Lycée Saint-Joseph,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0440358A,,
0421797A,Collège Saint-Paul,Collège,Privé,1,0,0,,340,COLLEGE,0421797A,,
0131327X,Lycée de Tour Sainte,Lycée,Privé,0,0,0,,302,LYCEE D ENSEIGNEMENT GENERAL,,,
0421038A,Collège les Chartreux - Sainte-Famille,Collège,Privé,0,0,0,,340,COLLEGE,0421803G,,
0930933J,Lycée polyvalent privé Assomption,Lycée,Privé,0,0,0,,306,LYCEE POLYVALENT,,,
0910824B,Lycée du Sacré-Coeur,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,,,
0332490C,Collège Saint-Genès La Salle (site de Bordeaux),Collège,Privé,0,0,0,,340,COLLEGE,0332490C,,
0351997F,Collège Jeanne d'Arc - La Salle,Collège,Privé,0,0,0,,340,COLLEGE,0350967L,,
0700076C,Lycée professionnel privé Sainte-Anne Saint-Joseph,Lycée,Privé,0,0,0,,320,LYCEE PROFESSIONNEL,0700045U,,
0290338K,Lycée Sainte-Anne,Lycée,Privé,0,0,0,,302,LYCEE D ENSEIGNEMENT GENERAL,0290012F,,
0811070Y,Lycée professionnel privé Sainte-Cécile,Lycée,Privé,0,0,0,,320,LYCEE PROFESSIONNEL,0811061N,,
0772324H,Lycée privé Campus Sainte-Thérèse,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0771334G,, 6 ET 7)
0942354Y,Lycée général et technologique de l'ensemble Sainte-Marie,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,,, 5 ET 10)
0170102U,Collège privé Jeanne d'Arc,Collège,Privé,0,0,0,,340,COLLEGE,0170361A,,
0491924A,Collège Saint-Benoît,Collège,Privé,0,0,0,,340,COLLEGE,0492432C,,
0370728R,Lycée privé Institution Notre Dame La Riche,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0370769K,,
0133544G,Collège Ort-Bramson,Collège,Privé,0,0,0,,340,COLLEGE,,,
0622129C,Collège privé de la Sainte Famille,Collège,Privé,0,0,0,,340,COLLEGE,0622108E,,
0753851D,Lycée privé La Rochefoucauld,Lycée,Privé,0,0,0,,302,LYCEE D ENSEIGNEMENT GENERAL,0752912H,,
9830271C,Lycée professionnel privé Marcellin Champagnat (DDEC),Lycée,Privé,0,0,0,320,LYCEE PROFESSIONNEL,30,,,
0694312M,Collège La Xavière,Collège,Privé,0,0,0,,340,COLLEGE,0690551Z,,
0011465M,Collège d'Ornex,Collège,Public,0,0,0,,340,COLLEGE,0010896U,,
0642179W,Collège privé Kattalin Elizalde,Collège,Privé,0,0,0,,340,COLLEGE,,,
0772953S,Collège privé Saint-Colomban,Collège,Privé,0,0,0,,340,COLLEGE,,, 6 ET 7)
0320054K,Lycée général privé Saint-Joseph,Lycée,Privé,0,0,0,,302,LYCEE D ENSEIGNEMENT GENERAL,0320578E,,
0440182J,Collège La Salle - Saint-Laurent,Collège,Privé,0,0,0,,340,COLLEGE,0440383C,,
0810105Z,Lycée professionnel privé De La Salle,Lycée,Privé,0,0,0,,320,LYCEE PROFESSIONNEL,0810088F,,
0753840S,Lycée privé Stanislas,Lycée,Privé,0,0,0,,302,LYCEE D ENSEIGNEMENT GENERAL,0754029X,,
0490845C,Collège Immaculée Conception,Collège,Privé,0,0,0,,340,COLLEGE,0492432C,,
0560127J,Collège Saint-Michel,Collège,Privé,0,0,0,,340,COLLEGE,0560009F,,
0350791V,Lycée polyvalent Marcel Callo,Lycée,Privé,0,0,0,,306,LYCEE POLYVALENT,0351969A,,
0751883P,Institut supérieur privé Clorivière,Lycée,Privé,0,0,0,,301,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE,0750234X,,
0752842G,Collège privé Fénelon Sainte-Marie,Collège,Privé,0,0,0,,340,COLLEGE,0752842G,,
0460621A,Collège Jeanne d'Arc,Collège,Privé,0,0,0,,340,COLLEGE,0460621A,,
9720615L,Lycée polyvalent de l'AMEP,Lycée,Privé,0,0,0,,306,LYCEE POLYVALENT,9720084J,,
0440177D,Lycée Saint-Louis,Lycée,Privé,0,0,0,,302,LYCEE D ENSEIGNEMENT GENERAL,0440235S,,
0440190T,Collège Sainte-Philomène,Collège,Privé,0,0,0,,340,COLLEGE,0441251W,,
0641656C,Collège Saint-François,Collège,Privé,0,0,0,,340,COLLEGE,0641656C,,
0921908Z,Collège Jeanne d'Arc,Collège,Privé,1,0,0,,340,COLLEGE,0921494Z,,
0910820X,Collège Sainte-Jeanne d'Arc,Collège,Privé,0,0,0,,340,COLLEGE,,,
0340869K,Collège privé Pic La Salle,Collège,Privé,0,0,0,,340,COLLEGE,,,
7200073S,Lycée Jeanne d'Arc,Lycée,Privé,0,0,0,,302,LYCEE D ENSEIGNEMENT GENERAL,7200139N,,
0350854N,Collège Saint-Joseph,Collège,Privé,0,0,0,,340,COLLEGE,0352448W,,
0783455G,Lycée agricole du CHEP - 'L'École du savoir vert',Lycée,Privé,0,1,0,,320,LYCEE PROFESSIONNEL,,,
0931764M,Lycée général privé Ohr Sarah,Lycée,Privé,0,0,0,,340,COLLEGE,,,
0350885X,Collège Julien Maunoir,Collège,Privé,0,0,0,,340,COLLEGE,0350041E,,
0220099N,Lycée Saint-Joseph,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0221537B,,
0291883P,Collège Sainte-Ursule,Collège,Privé,0,0,0,,340,COLLEGE,0290333E,,
0622114L,Lycée polyvalent privé Saint-Paul,Lycée,Privé,0,0,0,,306,LYCEE POLYVALENT,0622115M,,
0350889B,Collège Sacré-Coeur,Collège,Privé,0,0,0,,340,COLLEGE,0350044H,,
0622195Z,Lycée professionnel privé Sainte Marie,Lycée,Privé,0,0,0,,320,LYCEE PROFESSIONNEL,0622112J,,
0110052X,Collège privé Saint-Joseph Limoux,Collège,Privé,0,0,0,,340,COLLEGE,0110859Z,,
0300093N,Collège privé Saint-Jean-Baptiste de La Salle,Collège,Privé,1,0,0,,340,COLLEGE,0301098F,,
0761347B,Lycée professionnel privé Notre-Dame,Lycée,Privé,0,0,0,,320,LYCEE PROFESSIONNEL,0761776T,,
0290160S,Lycée Saint-François Notre-Dame,Lycée,Privé,0,0,0,,302,LYCEE D ENSEIGNEMENT GENERAL,0290049W,,
0492015Z,Lycée Sacré-Coeur La Salle - site enseignement supérieur,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0492432C,,
0672303P,Collège privé La Doctrine Chrétienne,Collège,Privé,0,0,0,,340,COLLEGE,0672383B,,
0790074B,Collège privé Saint-Joseph,Collège,Privé,0,0,0,,340,COLLEGE,0790979K,,
0251055L,Collège Sainte-Marie,Collège,Privé,0,0,0,,340,COLLEGE,0251129S,,
0440238V,Collège Saint-Roch,Collège,Privé,0,0,0,,340,COLLEGE,0441274W,,
0440195Y,Collège Saint-Joseph,Collège,Privé,0,0,0,,340,COLLEGE,0441149K,,
0121291N,Lycée agricole et horticole privé de Rignac,Lycée,Privé,0,1,0,,320,LYCEE PROFESSIONNEL,,,
0850092N,Collège Saint-Martin,Collège,Privé,0,0,0,,340,COLLEGE,0850092N,,
0350874K,Collège Saint-Yves,Collège,Privé,0,0,0,,340,COLLEGE,0352030S,,
0560158T,Collège Sainte-Barbe,Collège,Privé,0,0,0,,340,COLLEGE,0561384A,,
0920998K,Collège Sainte-Marie,Collège,Privé,0,0,0,,340,COLLEGE,0920653K,,
0781594J,Collège Le Bon Sauveur,Collège,Privé,0,0,0,,340,COLLEGE,,,
0492015Z,Lycée Sacré-Coeur La salle,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0492432C,,
9741546M,Collège privé La Salle Alexandre Monnet,Collège,Privé,1,0,0,,340,COLLEGE,9740083X,,
0930917S,Collège Saint-Joseph,Collège,Privé,0,0,0,,340,COLLEGE,,,
0930921W,Collège Fénelon,Collège,Privé,0,0,0,,340,COLLEGE,,,
0692931L,Collège Saint-Marc,Collège,Privé,0,0,0,,340,COLLEGE,0692937T,,
0180561M,Lycée privé Sainte-Marie,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0180678P,,
0672304R,Collège privé Aquiba,Collège,Privé,0,0,0,,340,COLLEGE,0671607H,,
0501201J,Collège l'abbaye,Collège,Privé,0,0,0,,340,COLLEGE,0501941N,,
0530874M,Collège Saint-Michel,Collège,Privé,0,0,0,,340,COLLEGE,0530874M,,
0340880X,Collège privé la Providence,Collège,Privé,0,0,0,,340,COLLEGE,,,
0350866B,Collège Saint-Joseph,Collège,Privé,0,0,0,,340,COLLEGE,0351053E,,
0921909A,Collège La Source,Collège,Privé,0,0,0,,340,COLLEGE,0920778W,,
0930929E,Lycée professionnel privé Jeanne la Lorraine,Lycée,Privé,0,0,0,,320,LYCEE PROFESSIONNEL,,,
0070864B,Collège privé Gabriel Longueville,Collège,Privé,0,0,0,,340,COLLEGE,0070006U,,
0511176B,Collège Sainte-Macre,Collège,Privé,0,0,0,,340,COLLEGE,0511188P,,
0292257W,Annexe du collège Diwan Penn ar Bed (enseignement immersif en breton),Collège,Privé,0,0,0,,340,COLLEGE,0290049W,0292055B,
0240083K,Collège Jeanne d'Arc,Collège,Privé,0,0,0,,340,COLLEGE,0240055E,,
0220102S,Lycée Saint-Joseph - Bossuet,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0220082V,,
0771921V,Collège Sainte-Marie,Collège,Privé,0,0,0,,340,COLLEGE,0771921V,,
0840070V,Collège Jeanne d'Arc,Collège,Privé,0,0,0,,340,COLLEGE,0840070V,,
0060715V,Lycée professionnel La Providence,Lycée,Privé,0,0,0,,320,LYCEE PROFESSIONNEL,0060840F,,
0061458C,Institution Saint-Joseph Carnolès,Collège,Privé,0,0,0,,340,COLLEGE,0061824A,,
0831187P,Lycée professionnel Externat Saint-Joseph (La Cordeille),Lycée,Privé,0,0,0,,320,LYCEE PROFESSIONNEL,0830472M,,
0441982R,Lycée privé de Bretagne,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,,,
0451535Z,Lycée d'enseignement général et technologique agricole les Barres,Lycée,Public,0,1,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,,0450094H,
0942443V,Lycée GT Saint-Joseph,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,,, 8 ET 9)
0320652K,Lycée professionnel privé Oratoire Sainte-Marie,Lycée,Privé,0,0,0,,320,LYCEE PROFESSIONNEL,0320650H,,
0592933T,Collège Saint-Winoc,Collège,Privé,0,0,0,,340,COLLEGE,0593120W,,
0771200L,Lycée polyvalent privé Blanche de Castille,Lycée,Privé,0,0,0,,306,LYCEE POLYVALENT,0771422C,,
0291751W,Lycée agricole privé Kerustum,Lycée,Privé,0,1,0,,320,LYCEE PROFESSIONNEL,,,
0280667Y,Lycée privé Saint-Pierre Saint-Paul,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0280658N,,
0912117G,Lycée polyvalent Notre-Dame de Sion,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,,,
0061852F,Lycée La Providence,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0060840F,,
0592955S,Collège Notre-Dame,Collège,Privé,0,0,0,,340,COLLEGE,0592955S,,
0010083K,Collège Saint-Louis,Collège,Privé,0,0,0,,340,COLLEGE,0011142L,,
0950753C,Lycée Notre-Dame Providence,Lycée,Privé,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0950930V,,
0641657D,Collège privé Saint-Joseph,Collège,Privé,0,0,0,,340,COLLEGE,0641248J,,
0622115M,Collège Sainte-Ide,Collège,Privé,0,0,0,,340,COLLEGE,0622115M,,
0593144X,Collège Sainte-Anne,Collège,Privé,0,0,0,,340,COLLEGE,0595400Z,,
0311972A,Collège Saint-Joseph,Collège,Privé,1,0,0,,340,COLLEGE,0311968W,,
0121430P,Collège privé Saint-Joseph,Collège,Privé,1,0,0,,340,COLLEGE,0121273U,,
0332489B,Collège Notre-Dame,Collège,Privé,0,0,0,,340,COLLEGE,0332488A,,
0141159J,Institution Saint-Pierre,Collège,Privé,0,0,0,,340,COLLEGE,0141596J,,
0755052J,Collège privé N'R Hatorah,Collège,Privé,0,0,0,,340,COLLEGE,0755052J,,
0170111D,Collège privé Notre-Dame de Nazareth,Collège,Privé,0,0,0,,340,COLLEGE,0170692K,,
0120090H,Collège Saint-Dominique,Collège,Privé,0,0,0,,340,COLLEGE,0121213D,,
0921914F,Collège Saint-Dominique,Collège,Privé,0,0,0,,340,COLLEGE,0922686V,,
0940879V,Collège Jeanne d'Arc,Collège,Privé,0,0,0,,340,COLLEGE,,, 5 ET 10)
0280679L,Collège privé Sainte-Cécile,Collège,Privé,0,0,0,,340,COLLEGE,0280957N,,
0350770X,Collège Sainte-Marie,Collège,Privé,0,0,0,,340,COLLEGE,0350967L,,
0560150J,Collège Saint-Julien,Collège,Privé,0,0,0,,340,COLLEGE,0560058J,,
0331644H,Collège privé Saint-Jean,Collège,Privé,0,0,0,,340,COLLEGE,0331644H,,
0932652C,Collège privé Protectorat Saint-Joseph,Collège,Privé,0,0,0,,340,COLLEGE,,,
0761718E,Lycée général privé Rey,Lycée,Privé,0,0,0,,302,LYCEE D ENSEIGNEMENT GENERAL,0762090J,,
0931528F,Collège Saint-Joseph,Collège,Privé,1,0,0,,340,COLLEGE,,,
0500155X,Collège Sainte-Marie,Collège,Privé,0,0,0,,340,COLLEGE,0501941N,,
0932302X,Collège Merkaz Hatorah Filles,Collège,Privé,0,0,0,,340,COLLEGE,,,
0371208M,Collège privé Saint-Joseph,Collège,Privé,0,0,0,,340,COLLEGE,0371159J,,
