Identifiant_de_l_etablissement,Nom_etablissement,Type_etablissement,Statut_public_prive,Segpa,Lycee_Agricole,Lycee_militaire,code_nature,libelle_nature,Code_type_contrat_prive,etablissement_mere,type_rattachement_etablissement_mere,
0133788X,Collège Jean-Claude Izzo,Collège,Public,0,0,0,,340,COLLEGE,0133788X,,
0130062X,Lycée professionnel Frédéric Mistral,Lycée,Public,0,0,0,,320,LYCEE PROFESSIONNEL,0131943S,,
0642038T,Collège Aturri,Collège,Public,0,0,0,,340,COLLEGE,0642038T,,
0240055E,Collège Dronne-Double,Collège,Public,0,0,0,,340,COLLEGE,0240055E,,
0261086P,Collège Europa,Collège,Public,0,0,0,,340,COLLEGE,0260005P,,
0731114P,Collège du Val Gelon,Collège,Public,0,0,0,,340,COLLEGE,0731044N,,
0330163Y,Collège Élie Faure,Collège,Public,1,0,0,,340,COLLEGE,0330163Y,,
0641780M,Collège René Forgues,Collège,Public,0,0,0,,340,COLLEGE,0641780M,,
0332084L,Collège Albert Camus,Collège,Public,0,0,0,,340,COLLEGE,0332084L,,
0261095Z,Collège Camille Vernet,Collège,Public,0,0,0,,340,COLLEGE,0261094Y,,
0740032H,Collège le Clergeon,Collège,Public,1,0,0,,340,COLLEGE,0740032H,,
0010025X,Collège Paul Sixdenier,Collège,Public,0,0,0,,340,COLLEGE,0010025X,,
0690053H,Collège Professeur Dargent,Collège,Public,1,0,0,,340,COLLEGE,0690053H,,
0690075G,Collège Pierre Brossolette,Collège,Public,1,0,0,,340,COLLEGE,0690075G,,
0421454C,Collège Mario Meunier,Collège,Public,1,0,0,,340,COLLEGE,0421454C,,
0694007F,Collège Gilbert Dru,Collège,Public,0,0,0,,340,COLLEGE,0694007F,,
0692520P,Collège Frédéric Mistral,Collège,Public,0,0,0,,340,COLLEGE,0692898A,,
0692865P,Collège Louis Lachenal,Collège,Public,0,0,0,,340,COLLEGE,0692865P,,
0382429J,Collège Jean Prévost,Collège,Public,0,0,0,,340,COLLEGE,0382429J,,
0382268J,Collège la Moulinière,Collège,Public,1,0,0,,340,COLLEGE,0382268J,,
0730023D,Collège Joseph Fontanet,Collège,Public,0,0,0,,340,COLLEGE,0730904L,,
0381886U,Lycée AGROTEC de Vienne - Seyssuel,Lycée,Public,0,1,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,,,
0070012A,Collège Vallée de la Beaume,Collège,Public,0,0,0,,340,COLLEGE,0070012A,,
0740038P,Collège Arthur Rimbaud,Collège,Public,1,0,0,,340,COLLEGE,0741419R,,
0070009X,Lycée professionnel Léon Pavin,Lycée,Public,0,0,0,,320,LYCEE PROFESSIONNEL,0071246S,,
0070021K,Lycée polyvalent Vincent d'Indy,Lycée,Public,0,0,0,,306,LYCEE POLYVALENT,0071246S,,
0380092U,Lycée polyvalent Ferdinand Buisson,Lycée,Public,0,0,0,,306,LYCEE POLYVALENT,0382042N,,
0380036H,Lycée professionnel Guynemer,Lycée,Public,0,0,0,,320,LYCEE PROFESSIONNEL,0382035F,,
0381817U,Lycée horticole Grenoble Saint-Ismier - École du paysage,Lycée,Public,0,1,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,,,
0690032K,Lycée Juliette Récamier,Lycée,Public,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0692693C,,
0692410V,Collège Charles Sénard,Collège,Public,0,0,0,,340,COLLEGE,0692410V,,
0910627M,Lycée Jean-Baptiste Corot - Le château,Lycée,Public,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0911252S,,
0921545E,Collège André Malraux,Collège,Public,1,0,0,,340,COLLEGE,0921622N,,
0133525L,Lycée international Georges Duby,Lycée,Public,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0130001F,,
0331759H,Collège Chante Cigale,Collège,Public,1,0,0,,340,COLLEGE,0331759H,,
0333274E,Collège Rosa Bonheur,Collège,Public,0,0,0,,340,COLLEGE,0333274E,,
0331884U,Collège Manon Cormier,Collège,Public,1,0,0,,340,COLLEGE,0331884U,,
0380007B,Collège des Six Vallées,Collège,Public,0,0,0,,340,COLLEGE,0381779C,,
0380046U,Collège François Auguste Ravier,Collège,Public,0,0,0,,340,COLLEGE,0380046U,,
0380062L,Collège le Grand Som,Collège,Public,0,0,0,,340,COLLEGE,0382495F,,
0740006E,Lycée polyvalent Louis Lachenal,Lycée,Public,1,1,0,0,,306,99,0740071A,
