uai;type_etab;nom_etablissement;adresse;code_postal;commune;voie_generale;voie_techno;nbeleves;zone_ep
0650139Y;Lycée;Lycée général et technologique agricole Jean Monnet;11 bis promenade des Acacias;65500;Vic-en-Bigorre;0.0;1.0;;
0951509Z;Collège;Annexe du collège La Salle-Saint Rosaire de Sarcelles;5 rue Gambetta;95140;Garges-lès-Gonesse;0.0;0.0;;
0350918H;Lycée;Lycée les Vergers;4 rue des Murets;35120;Dol-de-Bretagne;0.0;1.0;;
0595124Z;Lycée;Institut d'Hazebrouck;69 rue du Violon d'Or;59190;Hazebrouck;0.0;1.0;;
0673079H;Collège;Ecole européenne de Strasbourg;2 rue Peter Schwarber;67015;Strasbourg;0.0;0.0;;
0692165D;Lycée;Lycée Elie Vignal;18 rue de Margnolles;69300;Caluire-et-Cuire;1.0;1.0;;
0100734U;Lycée;Lycée agricole privé Sainte-Maure;105 route de Mery sur Seine;10150;Sainte-Maure;1.0;1.0;;
0580055V;Lycée;Lycée d'enseignement général et technologique agricole de Nevers-Challuy;243 route de Lyon;58000;Challuy;1.0;1.0;;
0740114X;Collège;Collège privé Saint Vincent;55 route de Bossey;74160;Collonges-sous-Salève;0.0;0.0;;
0340022P;Collège;Collège Basile Rouaix;Route de Béziers;34460;Cessenon-sur-Orb;0.0;0.0;;
0875087G;Collège;Collège privé Saint-Jean;26 rue Eugène Varlin;87016;Limoges;0.0;0.0;;
0755840R;Collège;Collège privé Catherine Labouré;29 rue Gassendi;75014;Paris;0.0;0.0;;
0021525X;Collège;Collège Saint-Nicolas;9 rue du Grand Bosquet;2600;Villers-Cotterêts;0.0;0.0;;
0443021V;Collège;Collège de Chaumes-en-Retz;Rue du Stade;44320;Chaumes-en-Retz;0.0;0.0;;
0211217J;Lycée;Lycée d'enseignement général et technologique de la Barotte Haute Côte-d'Or;Route de Langres;21400;Châtillon-sur-Seine;0.0;1.0;;
0690521S;Lycée;Lycée Sainte-Marie (annexe du lycée de Lyon);1 rue Caroline Aigle;69330;Meyzieu;1.0;1.0;;
0451788Z;Collège;Collège Simone Veil;6 rue de Segray;45300;Pithiviers;0.0;0.0;;
0772944G;Collège;Collège Marie-Amélie Le Fur;1 impasse Louis Braille;77170;Coubert;0.0;0.0;;
9720908E;Collège;Séminaire-Collège Sainte-Marie - Annexe de Rivière-Salée;Quartier Trenelle;97215;Rivière-Salée;0.0;0.0;;
0590258K;Lycée;Lycée Gaston Berger;Avenue Gaston Berger;59016;Lille;0.0;1.0;;
0511196Y;Lycée;Lycée de la Nature et du Vivant de Somme Vesle;Route départementale 3;51460;Somme-Vesle;1.0;1.0;;
0831109E;Lycée;Campus Provence Verte;Chemin du Prugnon;83470;Saint-Maximin-la-Sainte-Baume;0.0;1.0;;
0342266D;Collège;Cité scolaire Françoise Combes (collège);4 rue du 81e régiment d'infanterie;34090;Montpellier;0.0;0.0;;
0220107X;Lycée;Lycée Notre-Dame de Campostal;Place du Bourg Coz;22110;Rostrenen;1.0;1.0;;
0480514Y;Lycée;Lycée général technologique et professionnel agricole François Rabelais;Civergols;48200;Saint-Chély-d'Apcher;0.0;1.0;;
0260791U;Lycée;Lycée horticole Terre d'horizon, pôle d'enseignement du végétal, du paysage et de l'environnement de la Drôme;1414 chemin de Rosey Ouest;26105;Romans-sur-Isère;0.0;1.0;;
0932783V;Lycée;Lycée Joséphine Baker;2 rue d'Amiens;93380;Pierrefitte-sur-Seine;1.0;0.0;;
0750428H;Lycée;Lycée polyvalent Jacques Monod;12 rue Victor Cousin;75005;Paris;0.0;1.0;;
0810833R;Lycée;Lycée agricole privé de Touscayrats;Touscayrats;81110;Verdalle;0.0;1.0;;
0134252B;Lycée;Lycée régional Jean D'Ormesson;860 avenue Jean Mermoz;13831;Châteaurenard;1.0;0.0;;
0942443V;Lycée;Lycée GT Saint-Joseph;55 rue de Verdun;94800;Villejuif;1.0;0.0;;
0623723K;Lycée;Campus agro-environnemental 62 site de Radinghem;58 rue Principale;62310;Radinghem;0.0;1.0;;
0331683A;Lycée;Lycée agricole de Bazas Terres de Gascogne;2 avenue de la République;33430;Bazas;0.0;1.0;;
0350778F;Lycée;Lycée Assomption - site de Retiers;20 square Charles de Gaulle;35240;Retiers;1.0;0.0;;
9740738J;Lycée;Lycée Hôtelier Christian Antou;63 rue Auguste Vinson;97867;Saint-Paul;0.0;1.0;;
0932260B;Lycée;Lycée polyvalent Georges Brassens;Rue des Bancs Publics;93420;Villepinte;0.0;1.0;;
9710722H;Lycée;Lycée polyvalent Carnot;28 rue Jean Jaurès;97110;Pointe-à-Pitre;0.0;1.0;;
0580076T;Lycée;Lycée technologique et professionnel privé Simone Dounon;5 rue Marcelin Berthelot;58200;Cosne-Cours-sur-Loire;0.0;1.0;;
0772946J;Collège;Collège Jeanne Bonnardel Beguin;23 bis rue Cléret;77230;Moussy-le-Neuf;0.0;0.0;;
0820922G;Collège;Collège Simone Veil;5968 A route d'Auch;82600;Verdun-sur-Garonne;0.0;0.0;;
0131323T;Lycée;Lycée de Provence;42 boulevard Emile Sicard;13272;Marseille;1.0;0.0;;
0110045P;Lycée;Lycée privé polyvalent Saint-Louis;77 rue Aimé Ramond;11000;Carcassonne;1.0;1.0;;
0753941B;Lycée;Lycée privé Gerson;31 rue de la Pompe;75016;Paris;1.0;0.0;;
0710001R;Lycée;Lycée polyvalent Bonaparte;Place du Champ de Mars - pôle général;71403;Autun;1.0;0.0;;
9710774P;Lycée;Lycée général et technologique Faustin Fléret;Quartier Espérance;97111;Morne-à-l'Eau;1.0;1.0;;
0540058V;Lycée;Lycée Jacques Marquette;Place Foch;54700;Pont-à-Mousson;1.0;1.0;;
9720070U;Lycée;Lycée général et technologique de l'Union;74 rue du Professeur Raymond Garcin;97200;Fort-de-France;1.0;0.0;;
0260022H;Lycée;Lycée général Albert Triboulet;Avenue Gambetta;26102;Romans-sur-Isère;1.0;0.0;;
7200073S;Lycée;Lycée Jeanne d'Arc;15 boulevard Benoite Danesi;20297;Bastia;1.0;0.0;;
0801874C;Lycée;Lycée Saint-Riquier;50 chaussée Jules Ferry;80094;Amiens;1.0;1.0;;
9741185V;Lycée;Lycée général et technologique le Verger;1 avenue des Corossols;97438;Sainte-Marie;1.0;1.0;;
0782557F;Lycée;Lycée Jean-Baptiste Poquelin;72 rue Léon Désoyer;78100;Saint-Germain-en-Laye;1.0;1.0;;
0171428K;Lycée;Lycée de la mer et du littoral;Rue William Bertrand;17560;Bourcefranc-le-Chapus;1.0;1.0;;
0790058J;Lycée;Lycée privé Saint-Charles;1 rue Jules Michelet;79101;Thouars;1.0;1.0;;
0771238C;Lycée;Lycée polyvalent Saint-Aspais;36 rue Saint-Barthélemy;77007;Melun;1.0;1.0;;
0741532N;Lycée;Lycée général et technologique de l'Albanais;Rue du Lycée;74152;Rumilly;1.0;1.0;;
0310044E;Lycée;Lycée polyvalent Déodat de Séverac;26 boulevard Déodat de Séverac;31076;Toulouse;1.0;1.0;;
0772290W;Lycée;Lycée Sainte-Croix;1 rue des Jacobins;77160;Provins;1.0;0.0;;
0783657B;Lycée;Lycée Saint-Augustin;39 rue Grande Fontaine;78100;Saint-Germain-en-Laye;1.0;0.0;;
0601832R;Lycée;Lycée Jean Monnet;10 rue des Cèdres;60800;Crépy-en-Valois;1.0;1.0;;
0131436R;Lycée;Lycée polyvalent modèle électronique;233 boulevard Saint Marcel;13396;Marseille;0.0;1.0;;
0110019L;Lycée;Lycée polyvalent Jacques Ruffié;Allée François Mitterand;11303;Limoux;1.0;1.0;;
0940129E;Lycée;Lycée polyvalent Jean Macé;34 rue Jules Ferry;94407;Vitry-sur-Seine;1.0;1.0;;
0540066D;Lycée;Lycée Louis Majorelle;16 rue Porte de Metz;54200;Toul;1.0;1.0;;
9741052A;Lycée;Lycée polyvalent Stella;Chemin départemental 11;97424;Saint-Leu;1.0;1.0;;
9720727H;Lycée;Lycée général et technologique Montgérald;Quartier Diaka Montgérald;97290;Le Marin;1.0;1.0;;
0690529A;Lycée;Lycée Déborde;72 rue Ney;69006;Lyon;1.0;0.0;;
0131747D;Lycée;Lycée polyvalent Auguste et Louis Lumière;Avenue Jules Ferry;13600;La Ciotat;1.0;1.0;;
0131549N;Lycée;Lycée Frédéric Joliot-Curie;Avenue des Goums;13400;Aubagne;1.0;1.0;;
0340881Y;Lycée;Lycée privé Notre-Dame de la Merci;62 cours Gambetta;34965;Montpellier;1.0;1.0;;
0932030B;Lycée;Lycée polyvalent Maurice Utrillo;152 rue Jean Durand;93240;Stains;1.0;1.0;;
0601823F;Lycée;Lycée François Truffaut;4 rue de Pontoise;60007;Beauvais;1.0;1.0;;
0511135G;Lycée;Lycée Notre-Dame Saint-Victor;11 rue Jean Chandon Moet;51200;Epernay;1.0;0.0;;
0511926S;Lycée;Lycée Marc Chagall;60 chaussée Saint Martin;51726;Reims;1.0;1.0;;
0131342N;Lycée;Lycée Saint-Charles Camas;21 rue du Camas;13392;Marseille;1.0;0.0;;
0753825A;Lycée;Lycée privé Morvan;68 rue de la Chaussée d'Antin;75009;Paris;1.0;0.0;;
0570211V;Lycée;Lycée Saint-Antoine;Chemin des Dames;57370;Phalsbourg;1.0;0.0;;
7200719U;Lycée;Lycée polyvalent du Fium'orbu;ZI Migliacciaro;20243;Prunelli-Di-Fiumorbo;1.0;1.0;;
0383069E;Lycée;Lycée général et technologique Camille Corot;454 rue Paul Claudel;38510;Morestel;1.0;1.0;;
0921365J;Lycée;Lycée Madeleine Daniélou;61-63 rue du Général de Miribel;92508;Rueil-Malmaison;1.0;0.0;;
0620113L;Lycée;Lycée Henri Darras;Chemin des Manufactures;62803;Liévin;1.0;1.0;;
9760127J;Lycée;Lycée Younoussa Bamana;;97600;Mamoudzou;1.0;1.0;;
0381803D;Lycée;Lycée général privé Externat Notre-Dame;43 avenue Marcelin Berthelot;38100;Grenoble;1.0;0.0;;
0470028A;Lycée;Lycée George Sand;Boulevard Pierre de Coubertin;47600;Nérac;1.0;1.0;;
0290338K;Lycée;Lycée Sainte-Anne;20 rue Lamotte Picquet;29200;Brest;1.0;0.0;;
0930127H;Lycée;Lycée Clémenceau;130 rue de Neuilly;93250;Villemomble;1.0;1.0;;
0783286Y;Lycée;Lycée Saint-Erembert;5 rue Salomon Reinach;78100;Saint-Germain-en-Laye;1.0;1.0;;
0690031J;Lycée;Lycée Antoine de Saint-Exupéry;82 rue Hénon;69316;Lyon;1.0;1.0;;
0260015A;Lycée;Lycée général et technologique Alain Borne;10 place du Théâtre;26216;Montélimar;1.0;1.0;;
0390027T;Lycée;Lycée polyvalent Victor Bérard;35 quai Aimé Lamy;39403;Morez;1.0;1.0;;
0390013C;Lycée;Lycée polyvalent Jacques Duhamel;Rue Charles Laurent Thouverey;39107;Dole;1.0;1.0;;
0622116N;Lycée;Lycée général privé La Malassise;Pensionnat Saint Joseph;62968;Longuenesse;1.0;0.0;;
0080053P;Lycée;Lycée polyvalent Masaryk;35 rue Bournizet;8400;Vouziers;1.0;0.0;;
9741173G;Lycée;Lycée polyvalent Moulin Joli;60 rue Mahatma Gandhi;97419;La Possession;1.0;1.0;;
0131339K;Lycée;Lycée Saint-Joseph de la Madeleine;172 bis boulevard de la Libération;13248;Marseille;1.0;1.0;;
0221589H;Lycée;Lycée Saint-Joseph;42 rue de la Cheze;22600;Loudéac;1.0;1.0;;
0740097D;Lycée;Lycée général privé Présentation de Marie;10 rue Monseigneur Paget;74163;Saint-Julien-en-Genevois;1.0;0.0;;
0950751A;Collège;Collège Jeanne d'Arc;14 rue Alsace Lorraine;95260;Beaumont-sur-Oise;0.0;0.0;;
0131703F;Collège;Collège Edouard Manet;Avenue Raimu;13014;Marseille;0.0;0.0;;REP+
0131372W;Collège;Collège Saint-Joseph;61 boulevard Viala;13344;Marseille;0.0;0.0;;
0630036X;Collège;Collège Sancy-Artense;Esplanade Marthe Guillaume;63680;La Tour-d'Auvergne;0.0;0.0;;
0693331W;Collège;Collège Louis Leprince-Ringuet;20 rue Louis Rey;69740;Genas;0.0;0.0;;
0730002F;Collège;Collège Jovet;119 route de Frebuge;73212;Aime-la-Plagne;0.0;0.0;;
0070037C;Collège;Collège Léonce Vieljeux;1 route du Roussillon;7140;Les Vans;0.0;0.0;;
0260001K;Collège;Collège de l'Europe Jean-Monnet;12 avenue Antoine Valllon;26303;Bourg-de-Péage;0.0;0.0;;
0261094Y;Collège;Collège Emile Loubet;2 rue du lycée;26021;Valence;0.0;0.0;;
0430135N;Collège;Collège Jean Monnet;Route de Queyrières;43200;Yssingeaux;0.0;0.0;;
0692338S;Collège;Collège Vendôme;69 rue Vendôme;69006;Lyon;0.0;0.0;;
0730028J;Collège;Collège de Boigne;330 rue Jean Rostand;73290;La Motte-Servolex;0.0;0.0;;
0731272L;Collège;Collège privé Jeanne d'Arc;3 place de l'Eglise;73203;Albertville;0.0;0.0;;
0690604G;Collège;Collège Notre-Dame de Bellecombe;31 rue Germain;69006;Lyon;0.0;0.0;;
0740930J;Collège;Collège les Barattes;5 avenue de Montfleury;74940;Annecy;0.0;0.0;;
0421068H;Collège;Collège le Bois de la Rive;13 rue Président Kennedy;42240;Unieux;0.0;0.0;;
0690060R;Collège;Collège Jean Mermoz;192 boulevard Pinel;69008;Lyon;0.0;0.0;;REP
0691670R;Collège;Collège Jean Charcot;13 rue du Commandant Charcot;69005;Lyon;0.0;0.0;;
0693046L;Collège;Collège la Perrière;Chemin de la Maillarde;69510;Soucieu-en-Jarrest;0.0;0.0;;
0694151M;Collège;Collège Christiane Bernardin;7 bis Grande rue;69340;Francheville;0.0;0.0;;
0740119C;Collège;Collège privé Saint-Jean-Baptiste;73 rue du Crêt du Midi;74120;Megève;0.0;0.0;;
0740116Z;Collège;Collège privé Saint-François;8 route nationale;74140;Douvaine;0.0;0.0;;
0380002W;Collège;Collège Flavius Vaussenat;Rue de la Retourdière;38580;Allevard;0.0;0.0;;
0381667F;Collège;Collège privé Notre-Dame de Sion;6 avenue Beaumarchais;38100;Grenoble;0.0;0.0;;
0382579X;Collège;Collège privé Rondeau Montfleury Europe;1 chemin de la croix Montfleury;38700;Corenc;0.0;0.0;;
0382584C;Collège;Collège privé Notre-Dame des Victoires;1 rue de la Terrasse;38500;Voiron;0.0;0.0;;
0381694K;Collège;Collège privé Don Bosco;19 rue de la plaine;38610;Gières;0.0;0.0;;
0381696M;Collège;Collège privé Bayard;13 bis rue Bayard;38000;Grenoble;0.0;0.0;;
0741117M;Collège;Collège Le Semnoz;16 avenue Jean Clerc;74600;Annecy;0.0;0.0;;
0561616C;Collège;Collège de Kerfontaine;1 rue Léonard De Vinci;56400;Pluneret;0.0;0.0;;
0951504U;Collège;Collège Notre Dame de la Providence;7 boulevard Sadi Carnot;95880;Enghien-les-Bains;0.0;0.0;;
0951939S;Collège;Collège Ozar Hatorah;1 rue Jean Lurçat;95200;Sarcelles;0.0;0.0;;
0951682M;Collège;Collège Torat Emet;14 avenue Charles Péguy;95200;Sarcelles;0.0;0.0;;
0010042R;Collège;Collège Bel Air;583 rue Albert Camus;1140;Thoissey;0.0;0.0;;
0131385K;Collège;Collège Saint-Eugène de Mazenod;Impasse du Pont de la Clue;13011;Marseille;0.0;0.0;;
0132909S;Collège;Collège cours Bastide;50 rue de Lodi;13006;Marseille;0.0;0.0;;
0691669P;Collège;Collège Victor Grignard;177 avenue Paul Santy;69008;Lyon;0.0;0.0;;REP
0692420F;Collège;Collège Maurice Utrillo;26 rue du Forest;69400;Limas;0.0;0.0;;
0740102J;Collège;Collège privé Sacré-Coeur;1 place de Crête;74200;Thonon-les-Bains;0.0;0.0;;
0740117A;Collège;Collège privé Saint-Bruno;6 avenue des vallées;74500;Evian-les-Bains;0.0;0.0;;
0430019M;Collège;Collège du Val de Senouire;1 rue du Collège;43230;Paulhaguet;0.0;0.0;;
0380013H;Collège;Collège Nelson Mandela;4 avenue Victor Hugo;38800;Le Pont-de-Claix;0.0;0.0;;REP
0421684C;Collège;Collège Albert Thomas;20 rue Albert Thomas;42328;Roanne;0.0;0.0;;REP
0421683B;Collège;Collège Jules Ferry;13 boulevard Jules Ferry;42328;Roanne;0.0;0.0;;
0580037A;Collège;Collège Arsène Fié;Route de Saint-Sauveur;58310;Saint-Amand-en-Puisaye;0.0;0.0;;
0390028U;Collège;Collège Pierre-Hyacinthe Cazeaux;15 rue de la Citadelle;39403;Morez;0.0;0.0;;
0940806R;Collège;Collège Saint-Joseph;2 ter rue de la citadelle;94230;Cachan;0.0;0.0;;
0932272P;Collège;Collège Rosa Luxembourg;2 mail Benoît Frachon;93300;Aubervilliers;0.0;0.0;;REP+
0080954U;Collège;Collège Bayard;7 rue Saint Louis;8000;Charleville-Mézières;0.0;0.0;;
0511176B;Collège;Collège Sainte-Macre;1 faubourg de Soissons;51170;Fismes;0.0;0.0;;
0572172B;Collège;Collège Paul Langevin;2 rue Jean Moulin;57304;Hagondange;0.0;0.0;;
0572925V;Collège;Collège de la Salle;2 rue Saint Maximin;57070;Metz;0.0;0.0;;
0541569M;Collège;Collège Jean Moulin;14 rue Jean Moulin;54510;Tomblaine;0.0;0.0;;
0570143W;Collège;Collège Jean de La Fontaine;15 rue Lievin;57500;Saint-Avold;0.0;0.0;;
0572811W;Collège;Collège Charlemagne;17 avenue Clémenceau;57100;Thionville;0.0;0.0;;
0880108P;Collège;Collège Saint-Clément;11 rue abbé Thiebaut;88320;Martigny-lès-Bains;0.0;0.0;;
0572587C;Collège;Collège Jean Jaurès;20 rue des Étangs;57216;Sarreguemines;0.0;0.0;;REP
0570318L;Collège;Collège Jean Moulin;1 rue Jean Moulin;57270;Uckange;0.0;0.0;;REP
0880156S;Collège;Collège Jules Verne;92 rue du Lieutenant Gauffre;88801;Vittel;0.0;0.0;;
9830625M;Collège;Collège des Portes de Fer;224 rue Armand Ohlen;98800;Nouméa;0.0;0.0;;
9720064M;Collège;Séminaire-Collège Sainte-Marie;27 rue Martin Luther King;97247;Fort-de-France;0.0;0.0;;
6200010S;Collège;Collège Fesch;Boulevard Pascal Rossini;20176;Ajaccio;0.0;0.0;;
9830004M;Collège;Collège Georges Baudoux;1 avenue des Frères Carcopino;98845;Nouméa;0.0;0.0;;
9730370P;Collège;Collège Réeberg Néron;Avenue Gustave Charlery;97354;Rémire-Montjoly;0.0;0.0;;REP+
9740083X;Collège;Collège Amiral Pierre Bouvet;50 rue Auguste de Villèle;97470;Saint-Benoît;0.0;0.0;;REP+
9741346V;Collège;Collège Ligne des Bambous;37 rue Félix Baillif;97432;Saint-Pierre;0.0;0.0;;REP
0921786S;Collège;Collège Descartes;19 avenue Lavoisier;92163;Antony;0.0;0.0;;
0772154Y;Collège;Collège Léonard de Vinci;Rue des Sablons;77400;Saint-Thibault-des-Vignes;0.0;0.0;;
0931978V;Collège;Collège Victor Hugo;2 allée Elsa Triolet;93160;Noisy-le-Grand;0.0;0.0;;REP
0940090M;Collège;Collège Paul Valéry;2 rue Regnault Leroy;94320;Thiais;0.0;0.0;;
0931428X;Collège;Collège Jean Vigo;2 rue de Nancy;93800;Epinay-sur-Seine;0.0;0.0;;REP+
0941614U;Collège;Collège Ozar Hatorah Filles;65 rue Saint Simon;94000;Créteil;0.0;0.0;;
0752536Z;Collège;Collège Voltaire;101 avenue de la République;75011;Paris;0.0;0.0;;
0752538B;Collège;Collège Rodin;19 rue Corvisart;75013;Paris;0.0;0.0;;
0772713F;Collège;Collège Jacqueline de Romilly;44 rue des Grouettes;77700;Magny-le-Hongre;0.0;0.0;;
0932366S;Collège;Collège Robert Doisneau;Chemin de la vieille montagne;93390;Clichy-sous-Bois;0.0;0.0;;REP+
0754861B;Collège;Collège privé Regain Tournesol;5 rue Yeo-Thomas;75013;Paris;0.0;0.0;;
0751793S;Collège;Collège Maurice Utrillo;113 rue Championnet;75018;Paris;0.0;0.0;;REP+
0754528P;Collège;Collège Pilâtre de Rozier;11 rue Bouvier;75011;Paris;0.0;0.0;;
0770019C;Collège;Collège Robert Doisneau;57 avenue Emile Zola;77196;Dammarie-les-Lys;0.0;0.0;;REP
0750429J;Collège;Collège Roland Dorgelès;63 rue de Clignancourt;75018;Paris;0.0;0.0;;
0790699F;Collège;Collège Albert Camus;20 Rue Albert Camus;79270;Frontenay-Rohan-Rohan;0.0;0.0;;
0230011M;Collège;Collège Françoise Dolto;36 rue de la Marche;23270;Châtelus-Malvaleix;0.0;0.0;;
0170387D;Collège;Collège André Albert;2 rue Jules Ravet;17600;Saujon;0.0;0.0;;
0860758G;Collège;Collège privé la Providence;26 rue René Descartes;86007;Poitiers;0.0;0.0;;
0330066T;Collège;Collège Saint-André;59 rue Cerey;33200;Bordeaux;0.0;0.0;;
0331492T;Collège;Collège Assomption Sainte Clotilde;9 rue Bel Orme;33000;Bordeaux;0.0;0.0;;
0400028N;Collège;Collège du Pays d'Orthe;229 avenue Jean Dupaya;40300;Peyrehorade;0.0;0.0;;
0640163E;Collège;Collège Sainte-Marie;30 rue Saint-Jacques;64500;Saint-Jean-de-Luz;0.0;0.0;;
0330106L;Collège;Collège François Mitterrand;3 rue André Chénier;33600;Pessac;0.0;0.0;;
0860792U;Collège;Collège Gérard Philipe;7 avenue de la Vienne;86300;Chauvigny;0.0;0.0;;
0330084M;Collège;Collège Toulouse Lautrec;1 avenue Léon Blum;33212;Langon;0.0;0.0;;
0761951H;Collège;Collège Henri de Navarre;11 rue Jules Gueville;76760;Yerville;0.0;0.0;;
0760050S;Collège;Collège Jules Vallès;32 rue Jules Vallès;76610;Le Havre;0.0;0.0;;REP+
0271399Z;Collège;Collège Ariane;Rue de l'Industrie;27207;Vernon;0.0;0.0;;
0060841G;Collège;Collège Jean-Henri Fabre;Boulevard Henri Sappia;6102;Nice;0.0;0.0;;
0040002F;Collège;Collège du Pays de Banon;Place Charles Vial;4150;Banon;0.0;0.0;;
0830834F;Collège;Collège André Léotard;50 rue de la Montagne;83600;Fréjus;0.0;0.0;;REP
0840064N;Collège;Collège La Salle - site Montesquieu;27 boulevard Montesquieu;84004;Avignon;0.0;0.0;;
0300947S;Collège;Collège Alphonse Daudet;4 avenue Paul Langevin;30100;Alès;0.0;0.0;;
0311169C;Collège;Collège Saint-Louis;Rue du Chanoine Barthas;31500;Toulouse;0.0;0.0;;
0810993P;Collège;Collège Albert Camus;Avenue Albert Camus;81604;Gaillac;0.0;0.0;;
0311237B;Collège;Collège Henri Guillaumet;2 avenue du Parc;31700;Blagnac;0.0;0.0;;
0310008R;Collège;Collège Joseph Rey;2 route de Garac;31480;Cadours;0.0;0.0;;
0640128S;Collège;Collège Moncade (en lien avec le collège Jeanne d'Arc);28 rue Moncade;64300;Orthez;0.0;0.0;;
0171340P;Collège;Collège privé Saint-Louis;73 avenue André Malraux;17250;Pont-l'Abbé-d'Arnoult;0.0;0.0;;
0240997D;Collège;Collège La Roche Beaulieu;1 route gare de Beaulieu;24430;Annesse-et-Beaulieu;0.0;0.0;;
0400033U;Collège;Collège Marie Curie;46 place de la laïcité;40370;Rion-des-Landes;0.0;0.0;;
0230032K;Collège;Collège Raymond Loewy;1 place de Filderstadt;23300;La Souterraine;0.0;0.0;;
0330128K;Collège;Collège Henri Brisson;15 rue Armand Leroi;33400;Talence;0.0;0.0;;
0332491D;Collège;Collège Albert Le Grand;189 rue Saint Genès;33000;Bordeaux;0.0;0.0;;
0590131X;Collège;Collège Jean Jaurès;1 rue de la Paix du 8 Mai 1945;59160;Lille;0.0;0.0;;REP
0622082B;Collège;Collège Marie Curie;62 rue de Saint Quentin;62000;Arras;0.0;0.0;;
0594638W;Collège;Collège Roger Salengro;140 rue Roger Salengro;59116;Houplines;0.0;0.0;;
0596833G;Collège;Collège Nina Simone;53 boulevard Montebello;59000;Lille;0.0;0.0;;REP+
0601469W;Collège;Collège Jean Moulin;Rue Pierre Francastel;60220;Formerie;0.0;0.0;;
0801439E;Collège;Collège Jean Moulin;Rue Léon Blum;80110;Moreuil;0.0;0.0;;
0020055Z;Collège;Collège Gabriel Hanotaux;78 rue Henriette Cabot;2100;Saint-Quentin;0.0;0.0;;REP
0020018J;Collège;Collège Léon Droussent;5 chemin du Val Serain;2380;Coucy-le-Château-Auffrique;0.0;0.0;;
0801786G;Collège;Collège Jean Moulin;1 rue de Bécourt;80300;Albert;0.0;0.0;;
0593664M;Collège;Collège Lucie Aubrac;17 rue de Cahors;59640;Dunkerque;0.0;0.0;;REP+
0800037F;Collège;Collège des Cygnes;1 rue des Marais;80510;Longpré-les-Corps-Saints;0.0;0.0;;
0590164H;Collège;Collège Jean Zay;50 Rue Jean Zay;59640;Dunkerque;0.0;0.0;;
0801487G;Collège;Collège Alfred Manessier;33 rue de la Résistance;80420;Flixecourt;0.0;0.0;;REP
0800057C;Collège;Collège Jacques Brel;23 rue de Verdun;80800;Villers-Bretonneux;0.0;0.0;;
0810043G;Collège;Collège Eustache de Beaumarchais;Chemin de Ginestous;81340;Valence-d'Albigeois;0.0;0.0;;
0090007J;Collège;Collège Victor Hugo;6 rue du Collège;9300;Lavelanet;0.0;0.0;;REP
0320028G;Collège;Collège Louis Pasteur;32 rue Sainte Quitterie;32160;Plaisance;0.0;0.0;;
0300099V;Collège;Collège privé Saint-Joseph;2 rue de Fabiargues;30500;Saint-Ambroix;0.0;0.0;;
0240004Z;Collège;Collège Henri IV;2 rue Lakanal;24108;Bergerac;0.0;0.0;;
0171215D;Collège;Collège Pertuis d'Antioche;2 avenue de la Libération;17310;Saint-Pierre-d'Oléron;0.0;0.0;;
0595394T;Collège;Collège Notre-Dame de la Paix;11 place aux Bleuets;59009;Lille;0.0;0.0;;
0711135Y;Collège;Collège Antoine de Saint-Exupéry;1 avenue A de Saint-Exupéry;71300;Montceau-les-Mines;0.0;0.0;;
0251127P;Collège;Collège Voltaire;9 rue de Savoie;25000;Besançon;0.0;0.0;;
0211071A;Collège;Collège Saint-Bénigne;14 rue du Nuits-Saint-Georges;21000;Dijon;0.0;0.0;;
0371210P;Collège;Collège Honoré de Balzac;3 bis rue Georges Jehan;37190;Azay-le-Rideau;0.0;0.0;;
0360023E;Collège;Collège Saint-Exupéry;16 route de la Ligne;36270;Eguzon-Chantôme;0.0;0.0;;
0450041A;Collège;Collège du Chinchon;2 boulevard du Chinchon;45200;Montargis;0.0;0.0;;
0360016X;Collège;Collège les Capucins;Avenue du Général Ruby;36020;Châteauroux;0.0;0.0;;
0370011L;Collège;Réseau des collèges de Preuilly-sur-Claise et du Grand-Pressigny (site Louis Léger);4 rue du Collège;37350;Le Grand-Pressigny;0.0;0.0;;
0371329U;Collège;Collège privé Saint-Denis;19 avenue du Général de Gaulle;37601;Loches;0.0;0.0;;
0370767H;Collège;Collège Pablo Néruda;27 rue du 23 Février 1950;37700;Saint-Pierre-des-Corps;0.0;0.0;;
0360037V;Collège;Collège Louis Pergaud;7 rue Pierre Nauron;36160;Sainte-Sévère-sur-Indre;0.0;0.0;;
0370733W;Collège;Collège privé le Jouteux;33 rue Victor Hugo;37140;Bourgueil;0.0;0.0;;
0360543V;Collège;Collège Colbert;13 rue Braille;36000;Châteauroux;0.0;0.0;;
0790011H;Collège;Collège François Albert;10 rue Daniel Archaimbault;79370;Celles-sur-Belle;0.0;0.0;;
0640165G;Collège;Collège Jean de Mayorga;16 place des Remparts;64220;Saint-Jean-Pied-de-Port;0.0;0.0;;
0870658T;Collège;Collège Jean Rebier;Rue Marcel Lalu;87170;Isle;0.0;0.0;;
0332340P;Collège;Collège Max Linder;15 avenue de Cajus;33450;Saint-Loubès;0.0;0.0;;
0860768T;Collège;Collège privé Saint-Martial;4 rue d'Ypres;86501;Montmorillon;0.0;0.0;;
0470026Y;Collège;Collège Joseph Kessel;45 chemin de Guillaume, Plaine de Guillaume;47150;Monflanquin;0.0;0.0;;
