uai;type_etab;nom_etablissement;adresse;code_postal;commune;voie_generale;voie_techno;nbeleves;zone_ep
0941877E;Lycée;Lycée Notre-Dame des Missions St Pierre;4 rue du Président Kennedy;94220;Charenton-le-Pont;1.0;0.0;;
0430053Z;Lycée;Lycée polyvalent privé Saint-Julien;7 place du Vallat;43101;Brioude;1.0;0.0;;
0340075X;Lycée;Lycée Paul Valéry;55 rue Paul Valéry;34200;Sète;1.0;1.0;;
0640001D;Lycée;Lycée polyvalent Cantau;1 allée de Cantau;64600;Anglet;1.0;1.0;;
0380029A;Lycée;Lycée général et technologique Les Eaux Claires;1 rue des Eaux Claires;38030;Grenoble;1.0;1.0;;
0350801F;Lycée;Lycée Jean-Paul II;2 rue Antoine de St Exupéry;35762;Saint-Grégoire;1.0;0.0;;
0750710P;Lycée;Lycée technologique d'Arts appliqués Auguste Renoir;24 rue Ganneron;75018;Paris;0.0;1.0;;
0940114N;Lycée;Lycée polyvalent Antoine de Saint-Exupéry;4 rue Henri Matisse;94000;Créteil;1.0;1.0;;
0830095C;Lycée;Lycée Sainte-Marie;1 place Germain Loro;83501;La Seyne-sur-Mer;1.0;1.0;;
0620108F;Lycée;Lycée Condorcet;25 rue Etienne Dolet;62303;Lens;1.0;1.0;;
0352533N;Lycée;Lycée François-René de Chateaubriand;12 avenue des Acacias;35270;Combourg;1.0;1.0;;
