Numéro établissement;Situation relative à un QPV (quartier prioritaire de la Ville)
0132401P;
0134022B;
0160864C;
0170081W;
0170142M;
0251397H;
0271104D;
0280034K;
0290149E;
0331880P;
0331885V;
0421686E;
0450069F;
0450939B;
0490048L;
0490061A;
0511472Y;
0511802G;
0540088C;
0572166V;
0572172B;
0590151U;
0590157A;
0593483R;
0593484S;
0593486U;
0594168K;
0594299C;
0594409X;
0620119T;
0622239X;
0622789V;
0622791X;
0671508A;
0691479H;
0691730F;
0692160Y;
0710536X;
0711323C;
0730904L;
0750362L;
0750608D;
0753047E;
0753345D;
0760086F;
0761693C;
0761954L;
0762226G;
0771333F;
0771337K;
0780116C;
0780264N;
0780512H;
0840033E;
0890789Z;
0900295G;
0910678T;
0910776Z;
0911025V;
0911027X;
0911042N;
0911729K;
0911865H;
0920883K;
0921180H;
0921621M;
0930900Y;
0931195U;
0931217T;
0931224A;
0931231H;
0931377S;
0931381W;
0931607S;
0931765N;
0931978V;
0940791Z;
0940794C;
0941040V;
0941299B;
0950888Z;
0952036X;
6200006M;
7200012A;
9730020J;
9740022F;
9741260B;
9710022X;
0090007J;
0090490J;
0770024H;
9710406P;
9730394R;
9730173A;
0030030S;
0061001F;
0061129V;
0080826E;
0131605Z;
0131884C;
0131935H;
0132207D;
0132408X;
0132730X;
0132785G;
0301208A;
0311265G;
0331619F;
0410003F;
0421688G;
0560071Y;
0593179K;
0593667R;
0593680E;
0594362W;
0595782P;
0601190T;
0622576N;
0631199L;
0671590P;
0680105V;
0680110A;
0690036P;
0692336P;
0720885W;
0750546L;
0753938Y;
0840761W;
0860876K;
0920854D;
0930616P;
0930865K;
0931184G;
0931221X;
0931379U;
0931434D;
0950900M;
0951993A;
9740035V;
9740572D;
9740620F;
9740645H;
0011011U;
0011068F;
0011071J;
0011325K;
0011387C;
0011388D;
0020002S;
0020017H;
0020029W;
0020063H;
0020065K;
0020067M;
0021689A;
0021989B;
0030017C;
0050639T;
0061400P;
0061826C;
0070019H;
0080839U;
0080896F;
0081099B;
0100033G;
0100765C;
0110721Z;
0110825M;
0132324F;
0133790Z;
0140008H;
0140049C;
0140050D;
0140073D;
0140077H;
0141271F;
0141940H;
0170010U;
0171118Y;
0171129K;
0171215D;
0180004G;
0180646E;
0180769N;
0190001Y;
0190019T;
0190568P;
0210038C;
0211164B;
0211557D;
0220003J;
0220006M;
0220045E;
0220047G;
0221509W;
0230028F;
0230032K;
0240997D;
0241011U;
0250049T;
0251090Z;
0260009U;
0260012X;
0261032F;
0261089T;
0270033P;
0270041Y;
0271238Z;
0271285A;
0271316J;
0280040S;
0280701K;
0280903E;
0281095N;
0290045S;
0290048V;
0290093U;
0290132L;
0290153J;
0290330B;
0291101P;
0291631R;
0291634U;
0291716H;
0301096D;
0301283G;
0301747L;
0311573S;
0312338Y;
0312699R;
0320013R;
0320017V;
0330084M;
0331433D;
0331757F;
0332288H;
0332341R;
0341032M;
0341366A;
0341367B;
0342050U;
0342076X;
0350040D;
0350057X;
0351790F;
0351791G;
0351795L;
0351847T;
0351881E;
0352248D;
0360718K;
0370034L;
0380026X;
0382039K;
0382101C;
0382176J;
0382426F;
0382427G;
0382705J;
0382781S;
0382786X;
0390004T;
0390016F;
0390785S;
0390962J;
0400039A;
0400728Z;
0410005H;
0410008L;
0410714D;
0420024Y;
0421085B;
0421734G;
0430027W;
0430135N;
0430663M;
0440008V;
0440018F;
0441655K;
0442052S;
0442186M;
0442542Z;
0450008P;
0450022E;
0450038X;
0450045E;
0451069T;
0451434P;
0451450G;
0451608D;
0460594W;
0470104H;
0490010V;
0490027N;
0490037Z;
0490039B;
0490046J;
0490962E;
0500001E;
0510026B;
0510027C;
0510056J;
0511191T;
0511326P;
0520052Z;
0520842H;
0530025P;
0540005M;
0540012V;
0540014X;
0540022F;
0540054R;
0541567K;
0541572R;
0541573S;
0542189L;
0550020Y;
0550022A;
0550804A;
0550859K;
0560006C;
0560037L;
0561598H;
0570010B;
0571994H;
0572360F;
0572363J;
0572496D;
0580023K;
0590046E;
0590082U;
0590087Z;
0593490Y;
0594872A;
0595176F;
0600030G;
0601292D;
0601938F;
0610010E;
0610959L;
0620016F;
0620047P;
0620156H;
0622299M;
0622951W;
0630060Y;
0640019Y;
0640036S;
0640214K;
0650036L;
0650838H;
0660022R;
0670003P;
0670011Y;
0671595V;
0671598Y;
0671828Y;
0671989Y;
0672135G;
0672193V;
0673049A;
0680012U;
0680128V;
0681265F;
0690016T;
0690117C;
0692164C;
0700787A;
0700894S;
0700951D;
0710044M;
0710535W;
0720004N;
0720024K;
0720046J;
0720062B;
0720905T;
0730002F;
0730031M;
0730903K;
0741116L;
0760004S;
0761784B;
0762084C;
0762085D;
0762107C;
0762197A;
0762286X;
0762764S;
0770009S;
0770040A;
0770051M;
0770053P;
0770928R;
0771342R;
0771661M;
0771770F;
0772247Z;
0772574E;
0772589W;
0772714G;
0780254C;
0780256E;
0780713B;
0780846W;
0781846H;
0781863B;
0781886B;
0790965V;
0800003U;
0800034C;
0800037F;
0801369D;
0801371F;
0810027P;
0810044H;
0820067C;
0820824A;
0830039S;
0830959S;
0830996G;
0831391L;
0840014J;
0850069N;
0850145W;
0851435Y;
0860019D;
0860020E;
0881446U;
0890028X;
0890038H;
0912233H;
0951354F;
0952087C;
6200080T;
9710584H;
9740046G;
9741387P;
9760166B;
0021489H;
0021595Y;
0021663X;
0030001K;
0030014Z;
0030035X;
0040014U;
0040017X;
0050019U;
0060063L;
0060072W;
0080827F;
0081096Y;
0081104G;
0100785Z;
0110676A;
0120017D;
0120021H;
0140086T;
0150024V;
0150028Z;
0150033E;
0160015E;
0160032Y;
0170050M;
0210043H;
0221540E;
0221542G;
0221594N;
0230001B;
0230017U;
0230408U;
0240010F;
0240014K;
0240066S;
0271121X;
0280867R;
0290047U;
0290057E;
0290088N;
0310001H;
0320019X;
0320608M;
0330105K;
0330125G;
0350041E;
0360030M;
0380039L;
0380055D;
0390784R;
0400023H;
0430002U;
0430006Y;
0450016Y;
0460024B;
0470043S;
0480006W;
0491766D;
0500010P;
0500068C;
0501301T;
0501302U;
0510022X;
0511567B;
0520026W;
0530001N;
0530031W;
0530583W;
0530584X;
0550006H;
0550009L;
0560063P;
0572020L;
0572026T;
0580002M;
0580035Y;
0580036Z;
0580619H;
0590206D;
0594538M;
0595178H;
0602004C;
0610036H;
0622866D;
0623112W;
0630010U;
0630036X;
0630058W;
0630064C;
0640005H;
0640064X;
0650003A;
0650022W;
0671596W;
0690070B;
0700007C;
0700016M;
0700896U;
0710037E;
0730020A;
0740034K;
0762177D;
0790017P;
0790032F;
0790035J;
0801326G;
0810002M;
0840032D;
0851146J;
0860046H;
0870006J;
0870819T;
9711155D;
9730219A;
9740037X;
9740468R;
9760183V;
0010975E;
0011333U;
0021491K;
0021535H;
0021685W;
0021691C;
0030956Y;
0060048V;
0060084J;
0060911H;
0061003H;
0061135B;
0061666D;
0061723R;
0061824A;
0061853G;
0062011D;
0062056C;
0070012A;
0080046G;
0090055L;
0090056M;
0110021N;
0110025T;
0110666P;
0120002M;
0130007M;
0130093F;
0130110Z;
0131607B;
0131608C;
0131931D;
0131947W;
0132208E;
0132494R;
0132732Z;
0132973L;
0133114P;
0133243E;
0133510V;
0133789Y;
0140012M;
0140087U;
0141596J;
0141816Y;
0150005Z;
0150639N;
0160024P;
0160050T;
0161106R;
0170063B;
0171211Z;
0190613N;
0190614P;
0190720E;
0210024M;
0211136W;
0211150L;
0211357L;
0211525U;
0211526V;
0221698B;
0221819H;
0240119Z;
0251116C;
0251573Z;
0260001K;
0260115J;
0260766S;
0260978X;
0260997T;
0261091V;
0270019Z;
0270022C;
0270036T;
0291929P;
0300059B;
0301013N;
0310085Z;
0311266H;
0311319R;
0311686P;
0311851U;
0312220V;
0312337X;
0312478A;
0312612W;
0312700S;
0330091V;
0330167C;
0331435F;
0331617D;
0331664E;
0332090T;
0332187Y;
0332195G;
0332342S;
0332437V;
0332768E;
0342036D;
0350002M;
0350916F;
0350969N;
0351969A;
0370799T;
0370884K;
0370887N;
0371316E;
0371378X;
0371403Z;
0382035F;
0382036G;
0382041M;
0382043P;
0382100B;
0382111N;
0382431L;
0382507U;
0382663N;
0382782T;
0383260M;
0390797E;
0400096M;
0400740M;
0410593X;
0410715E;
0410768M;
0421086C;
0421174Y;
0421454C;
0421486M;
0430025U;
0440283U;
0440539X;
0441724K;
0442368K;
0450041A;
0451068S;
0451365P;
0451544J;
0460528Z;
0470008D;
0470049Y;
0470103G;
0470720C;
0470777P;
0490022H;
0490957Z;
0491026Z;
0491825T;
0511189R;
0530078X;
0530914F;
0540112D;
0541210X;
0541284C;
0541329B;
0541501N;
0541575U;
0541776M;
0542468P;
0561931V;
0570115R;
0570177H;
0572171A;
0572480L;
0572689N;
0572812X;
0580620J;
0590068D;
0590090C;
0590115E;
0590155Y;
0590224Y;
0593168Y;
0593474F;
0593476H;
0593487V;
0593666P;
0593673X;
0593991T;
0594291U;
0594304H;
0594415D;
0594524X;
0595169Y;
0595173C;
0595174D;
0595175E;
0595758N;
0600032J;
0601188R;
0620071R;
0620073T;
0622082B;
0622084D;
0622090K;
0622264Z;
0622269E;
0622572J;
0622575M;
0622579S;
0622795B;
0622867E;
0622873L;
0622946R;
0623022Y;
0631120A;
0631161V;
0631451K;
0640078M;
0640607M;
0641412M;
0641413N;
0641780M;
0642038T;
0650031F;
0660016J;
0660037G;
0660051X;
0660864F;
0671742E;
0671958P;
0672072N;
0672134F;
0672254L;
0680088B;
0680129W;
0681126E;
0681267H;
0681368T;
0681370V;
0681541F;
0681713T;
0681957H;
0690076H;
0690131T;
0691478G;
0691484N;
0691495A;
0691614E;
0691662G;
0691670R;
0692420F;
0692423J;
0692448L;
0692520P;
0692693C;
0692694D;
0692695E;
0692699J;
0692704P;
0693286X;
0700785Y;
0711293V;
0711296Y;
0720038A;
0731041K;
0740021W;
0740071A;
0741341F;
0750507U;
0750607C;
0750609E;
0750611G;
0751703U;
0751791P;
0752107H;
0752189X;
0752192A;
0752250N;
0752530T;
0752533W;
0752534X;
0752537A;
0752549N;
0753046D;
0761692B;
0762170W;
0762176C;
0771175J;
0771333F;
0771472G;
0771518G;
0771662N;
0771759U;
0771766B;
0771841H;
0771992X;
0772191N;
0772396L;
0772651N;
0780002D;
0780050F;
0780186D;
0780263M;
0780267S;
0780418F;
0780507C;
0780580G;
0780708W;
0780718G;
0781171Z;
0781204K;
0781263Z;
0781298M;
0781695U;
0781789W;
0781818C;
0783253M;
0800017J;
0800020M;
0801437C;
0810061B;
0810961E;
0820066B;
0830075F;
0830145G;
0830162A;
0830179U;
0830734X;
0830954L;
0831379Y;
0840006A;
0840051Z;
0840697B;
0840764Z;
0850149A;
0860799B;
0861073Z;
0861092V;
0870023C;
0870817R;
0881447V;
0890006Y;
0891043A;
0900006T;
0900014B;
0900237U;
0910041A;
0910046F;
0910752Y;
0910775Y;
0910859P;
0911032C;
0911143Y;
0911252S;
0911257X;
0911340M;
0911488Y;
0911490A;
0920624D;
0920653K;
0920689Z;
0920877D;
0921170X;
0921219A;
0921233R;
0921240Y;
0921353W;
0921391M;
0921498D;
0921507N;
0921554P;
0921590D;
0921622N;
0921780K;
0922247T;
0922578C;
0930043S;
0930593P;
0930619T;
0930620U;
0930623X;
0930898W;
0931005M;
0931151W;
0931187K;
0931200Z;
0931211L;
0931213N;
0931220W;
0931382X;
0931439J;
0931610V;
0931712F;
0932262D;
0932311G;
0932333F;
0940024R;
0940071S;
0940552P;
0940569H;
0940625U;
0940788W;
0940789X;
0941017V;
0941093C;
0941102M;
0941220R;
0941431V;
0941782B;
0941783C;
0950022H;
0950046J;
0950748X;
0950893E;
0950930V;
0950945L;
0951099D;
0951527U;
0951724H;
0951964U;
0951992Z;
7200624R;
9710039R;
9710040S;
9710041T;
9710086S;
9710403L;
9710687V;
9720020P;
9720043P;
9720084J;
9720470D;
9740027L;
9740042C;
9740084Y;
9740618D;
9740735F;
9741188Y;
9760009F;
9760314M;
0080105W;
0121176N;
0132323E;
0240158S;
0301012M;
0331891B;
0340117T;
0421487N;
0511474A;
0541287F;
0560058J;
0572023P;
0580618G;
0595337F;
0600027D;
0601297J;
0620088J;
0631238D;
0700045U;
0770030P;
0800029X;
0801485E;
0801487G;
0881145S;
6200041A;
7200053V;
9720445B;
9740018B;
9740065C;
9740094J;
0020024R;
0050022X;
0050520N;
0220008P;
0240001W;
0320008K;
0400010U;
0400014Y;
0580012Y;
0580030T;
0880034J;
0021826Z;
0040055N;
0060799L;
0061174U;
0080894D;
0100081J;
0110068P;
0131610E;
0131757P;
0132214L;
0132217P;
0132403S;
0132412B;
0132572A;
0132786H;
0134022B;
0141553M;
0170081W;
0180766K;
0261086P;
0271513Y;
0291089B;
0331464M;
0341278E;
0350895H;
0380013H;
0390883Y;
0420035K;
0450939B;
0470102F;
0470677F;
0500024E;
0511083A;
0541515D;
0550701N;
0580599L;
0590006L;
0593242D;
0593254S;
0593482P;
0593483R;
0593678C;
0594168K;
0594394F;
0594533G;
0610057F;
0620119T;
0620158K;
0622087G;
0622095R;
0622262X;
0622423X;
0631502R;
0640609P;
0650034J;
0672459J;
0680009R;
0681284B;
0681322T;
0690280E;
0730904L;
0740157U;
0740910M;
0741165P;
0750478M;
0755095F;
0760100W;
0761777U;
0761949F;
0761954L;
0762226G;
0780116C;
0780420H;
0780512H;
0800018K;
0880151L;
0890056C;
0900351T;
0910716J;
0910718L;
0920882J;
0921494Z;
0930611J;
0931190N;
0931195U;
0931199Y;
0931223Z;
0931232J;
0931381W;
0931448U;
0931765N;
0932263E;
0940042K;
0940786U;
0940791Z;
0941025D;
0941026E;
0941029H;
0941781A;
0941971G;
0950749Y;
0950939E;
0951230W;
0951401G;
9720031B;
9740022F;
9740091F;
9741190A;
9711023K;
9711087E;
0771029A;à moins de 300 m d'un QPV
9720446C;hors QPV
0790004A;hors QPV
0801443J;hors QPV
0010802S;à moins de 300 m d'un QPV
0131887F;dans un QPV
0160100X;dans un QPV
0421689H;à moins de 300 m d'un QPV
0440284V;à moins de 300 m d'un QPV
0450936Y;dans un QPV
0573268T;à moins de 300 m d'un QPV
0590183D;dans un QPV
0593680E;dans un QPV
0594301E;à moins de 300 m d'un QPV
0594408W;hors QPV
0594865T;hors QPV
0600036N;hors QPV
0601524F;à moins de 300 m d'un QPV
0622273J;dans un QPV
0660018L;hors QPV
0670105A;à moins de 300 m d'un QPV
0671590P;à moins de 300 m d'un QPV
0671691Z;hors QPV
0681395X;hors QPV
0690036P;à moins de 300 m d'un QPV
0690099H;hors QPV
0710056A;hors QPV
0720081X;dans un QPV
0781108F;dans un QPV
0801263N;dans un QPV
0801616X;hors QPV
0830181W;hors QPV
0840007B;à moins de 300 m d'un QPV
